gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
Scarb2	3.94E-24	0.341197297	0.148	0.277	1.22E-19	MP
Nsa2	5.31E-23	0.473050828	0.26	0.47	1.65E-18	MP
Itm2c	7.52E-23	0.428762494	0.271	0.485	2.34E-18	MP
Srsf3	8.73E-23	0.448292296	0.188	0.34	2.71E-18	MP
Smarca5	1.04E-22	0.34574546	0.152	0.278	3.23E-18	MP
Scaf11	2.02E-22	0.404769694	0.162	0.296	6.29E-18	MP
Eif4a1	2.04E-22	0.528925415	0.224	0.406	6.34E-18	MP
Hnrnpl	8.43E-22	0.396056216	0.181	0.323	2.62E-17	MP
Man2a1	1.46E-21	0.292211224	0.162	0.286	4.54E-17	MP
Cbx3	2.61E-21	0.370800172	0.194	0.34	8.11E-17	MP
Arhgdia	6.61E-21	0.518626554	0.206	0.369	2.05E-16	MP
Ppp1r15a	1.47E-20	0.443128037	0.149	0.269	4.56E-16	MP
Csde1	1.62E-20	0.432614194	0.171	0.304	5.02E-16	MP
B230219D22Rik	2.72E-20	0.374943332	0.184	0.321	8.44E-16	MP
Wdr1	2.85E-20	0.43587552	0.173	0.308	8.86E-16	MP
Eif4g2	2.90E-20	0.3313819	0.293	0.503	9.00E-16	MP
Srsf6	4.12E-20	0.371329036	0.139	0.251	1.28E-15	MP
Tpd52	4.80E-20	0.497231877	0.138	0.254	1.49E-15	MP
Tuba1b	1.29E-19	0.459650034	0.276	0.482	3.99E-15	MP
Acin1	2.19E-19	0.434662819	0.145	0.259	6.80E-15	MP
S100a13	2.81E-19	0.317722031	0.148	0.259	8.72E-15	MP
AC149090.1	4.80E-19	0.828902035	0.262	0.23	1.49E-14	MP
U2surp	6.84E-19	0.449242527	0.156	0.276	2.12E-14	MP
Rps15	5.42E-18	0.303829935	0.384	0.68	1.68E-13	MP
Tkt	5.95E-18	0.550569766	0.237	0.414	1.85E-13	MP
H2afy	2.95E-17	0.463424623	0.149	0.26	9.17E-13	MP
Atp5k	3.99E-17	0.438911793	0.33	0.57	1.24E-12	MP
Sf3b2	1.99E-16	0.425055381	0.172	0.292	6.17E-12	MP
Dusp1	2.35E-16	0.899361139	0.284	0.268	7.31E-12	MP
Tpm3	3.54E-16	0.767095068	0.442	0.536	1.10E-11	MP
Ccdc12	2.49E-15	0.526025433	0.161	0.275	7.73E-11	MP
Gm26917	5.38E-15	0.748980122	0.369	0.376	1.67E-10	MP
Cox17	5.70E-15	0.444914463	0.329	0.554	1.77E-10	MP
Csnk1a1	6.77E-15	0.442028823	0.255	0.423	2.10E-10	MP
Id3	1.45E-14	0.750926543	0.354	0.366	4.52E-10	MP
Txnrd1	2.41E-14	0.472455974	0.164	0.273	7.49E-10	MP
Eif3j1	8.33E-14	0.416669687	0.294	0.483	2.59E-09	MP
Romo1	8.41E-14	0.353660726	0.392	0.659	2.61E-09	MP
Bnip2	9.48E-14	0.399880332	0.162	0.264	2.94E-09	MP
Atp6v0b	2.23E-13	0.430294282	0.335	0.582	6.91E-09	MP
St3gal5	3.22E-13	0.619034602	0.26	0.436	1.00E-08	MP
Arpc5	1.91E-12	0.594718776	0.245	0.408	5.94E-08	MP
Hsp90aa1	4.17E-12	0.504995982	0.213	0.341	1.29E-07	MP
Rps19	7.30E-12	0.25712256	0.424	0.716	2.27E-07	MP
Pak2	8.06E-12	0.489466146	0.188	0.302	2.50E-07	MP
Cebpb	9.47E-12	0.588043024	0.296	0.497	2.94E-07	MP
Zfand5	1.03E-11	0.556921441	0.232	0.375	3.21E-07	MP
1810037I17Rik	1.06E-11	0.420954726	0.331	0.543	3.28E-07	MP
Txnip	1.17E-11	0.311921605	0.194	0.3	3.63E-07	MP
Cltc	3.42E-11	0.502447988	0.203	0.323	1.06E-06	MP
Bola2	4.30E-11	0.528187232	0.275	0.444	1.34E-06	MP
Nucks1	4.35E-11	0.37667636	0.16	0.251	1.35E-06	MP
Lpl	1.12E-10	0.804842965	0.228	0.373	3.47E-06	MP
Irf2bp2	1.79E-10	0.748453323	0.268	0.263	5.54E-06	MP
Cd2ap	3.89E-10	0.434788141	0.189	0.291	1.21E-05	MP
Eif2s2	4.99E-10	0.296419109	0.41	0.678	1.55E-05	MP
Neat1	5.33E-10	0.389375959	0.248	0.378	1.66E-05	MP
Arl6ip1	1.33E-09	0.573607067	0.276	0.445	4.12E-05	MP
H2-K1	1.51E-09	0.296178781	0.577	0.731	4.68E-05	MP
Ewsr1	2.25E-09	0.516397114	0.199	0.308	7.00E-05	MP
Cggbp1	2.64E-09	0.486919829	0.214	0.33	8.19E-05	MP
Canx	4.88E-09	0.414616036	0.347	0.558	0.000151577	MP
Jun	7.77E-09	0.257011504	0.342	0.508	0.000241189	MP
Rps9	1.07E-08	0.441911127	0.545	0.769	0.000333244	MP
Zfp36	1.10E-08	0.381863765	0.324	0.506	0.000341706	MP
Fus	1.38E-08	0.626021237	0.358	0.394	0.000428987	MP
Serinc3	1.60E-08	0.450608351	0.238	0.359	0.000496287	MP
Hnrnpm	4.01E-08	0.514842536	0.215	0.328	0.001246039	MP
Ifngr1	5.15E-08	0.660110868	0.219	0.341	0.001597884	MP
Rps23	8.90E-08	0.458143207	0.534	0.758	0.002764007	MP
Rap1b	1.24E-07	0.55757076	0.173	0.261	0.003854489	MP
Actr3	2.14E-07	0.938152863	0.317	0.367	0.006642818	MP
App	2.94E-07	0.296739081	0.213	0.304	0.009143665	MP
Tcf25	3.35E-07	0.539025915	0.291	0.453	0.010407331	MP
Tpr	4.58E-07	0.565857252	0.283	0.441	0.014207503	MP
Srrm2	5.24E-07	0.718084037	0.398	0.496	0.016274873	MP
Cdc42	5.93E-07	0.58842603	0.472	0.658	0.018405843	MP
mt-Nd3	2.28E-06	0.529269202	0.226	0.331	0.070812887	MP
Rpl39	5.58E-06	0.387044788	0.563	0.803	0.17314156	MP
Rbm39	7.76E-06	0.64209739	0.403	0.505	0.241026758	MP
Rpl36a	1.22E-05	0.387541549	0.545	0.779	0.379427358	MP
Id2	1.28E-05	0.631846404	0.33	0.524	0.396833532	MP
Rpl17	1.76E-05	0.392995168	0.418	0.682	0.545858103	MP
Junb	1.81E-05	0.615133192	0.444	0.579	0.562432068	MP
Top1	1.87E-05	0.583580528	0.266	0.398	0.580516036	MP
Lars2	2.05E-05	0.47673288	0.479	0.613	0.637769478	MP
Ctsd	2.83E-05	1.175668502	0.381	0.511	0.878241416	MP
Luc7l2	3.10E-05	0.528527531	0.245	0.355	0.96226892	MP
Ptbp3	4.08E-05	0.665003841	0.26	0.274	1	MP
Eif5b	6.62E-05	0.732772452	0.324	0.38	1	MP
Fos	0.00011173	0.301077525	0.351	0.495	1	MP
Rps12	0.000126502	0.477065639	0.518	0.737	1	MP
Npc2	0.000132634	0.668554783	0.324	0.515	1	MP
Atpif1	0.000237729	0.52687152	0.486	0.689	1	MP
Myl6	0.000291845	0.273682934	0.568	0.807	1	MP
Ptma	0.000424873	0.289372527	0.549	0.76	1	MP
Hpgd	0.00126748	0.849103985	0.242	0.352	1	MP
Sfpq	0.001965879	0.487499964	0.195	0.263	1	MP
Snrnp70	0.004581432	0.641406566	0.346	0.427	1	MP
Sod1	0.006100523	0.451874968	0.265	0.359	1	MP
Ddx5	0.009003599	0.540464656	0.355	0.532	1	MP
Serpina1e	0	2.938988835	0.973	0.467	0	HCC
Serpina1b	0	2.631944931	0.995	0.729	0	HCC
Ahsg	0	2.529334044	0.986	0.395	0	HCC
Serpina1d	0	2.448318604	0.964	0.291	0	HCC
Ass1	0	2.432136407	0.925	0.177	0	HCC
Rbp4	0	2.264218712	0.992	0.635	0	HCC
Hrg	0	2.207275085	0.826	0.099	0	HCC
Serpina3k	0	2.194706047	0.965	0.362	0	HCC
Kng1	0	2.110422715	0.982	0.49	0	HCC
Fga	0	2.103375756	0.948	0.279	0	HCC
H2-Q10	0	2.089234469	0.933	0.212	0	HCC
Fgg	0	2.080652551	0.964	0.351	0	HCC
Gnmt	0	2.029757486	0.866	0.118	0	HCC
Orm1	0	1.96658961	0.87	0.174	0	HCC
Gapdh	0	1.965773843	0.931	0.332	0	HCC
Ttr	0	1.960493314	0.998	0.896	0	HCC
Hpx	0	1.900838104	0.967	0.341	0	HCC
Apoa1	0	1.895469353	1	0.989	0	HCC
Alb	0	1.857921419	1	0.98	0	HCC
Hp	0	1.851136474	0.977	0.346	0	HCC
Uox	0	1.845346164	0.915	0.189	0	HCC
Gstm1	0	1.792621166	0.925	0.313	0	HCC
Cyp2c70	0	1.742275253	0.808	0.114	0	HCC
Azgp1	0	1.737590428	0.881	0.154	0	HCC
Ttc36	0	1.735282776	0.895	0.171	0	HCC
Gstp1	0	1.733114457	0.984	0.607	0	HCC
F2	0	1.724185751	0.803	0.134	0	HCC
Cyp2a4	0	1.721278296	0.781	0.109	0	HCC
C8g	0	1.703826665	0.823	0.107	0	HCC
Serpina3m	0	1.693304222	0.833	0.113	0	HCC
Rida	0	1.688421202	0.891	0.188	0	HCC
Fdps	0	1.661873631	0.826	0.13	0	HCC
Nme2	0	1.65439804	0.88	0.225	0	HCC
Mgst1	0	1.652586785	0.955	0.353	0	HCC
Serpinc1	0	1.608087395	0.899	0.198	0	HCC
Igfbp1	0	1.607944847	0.917	0.269	0	HCC
Lcn2	0	1.597897211	0.897	0.211	0	HCC
Fabp1	0	1.566350692	0.94	0.492	0	HCC
Cyb5a	0	1.565593986	0.96	0.424	0	HCC
Pcbd1	0	1.532136844	0.83	0.135	0	HCC
Cfi	0	1.528743224	0.825	0.153	0	HCC
Fgb	0	1.516183163	0.98	0.544	0	HCC
Lrg1	0	1.487473164	0.828	0.221	0	HCC
Tdo2	0	1.484688938	0.793	0.136	0	HCC
Gstm3	0	1.469882335	0.422	0.036	0	HCC
Serpinf2	0	1.453160766	0.78	0.144	0	HCC
Ddt	0	1.446708254	0.878	0.185	0	HCC
Mpc1	0	1.411697459	0.841	0.197	0	HCC
Apcs	0	1.406732171	0.878	0.259	0	HCC
Mup20	0	1.403312852	0.928	0.395	0	HCC
Cyp2a12	0	1.40051726	0.683	0.052	0	HCC
Apom	0	1.392003888	0.971	0.427	0	HCC
Lect2	0	1.390950724	0.605	0.058	0	HCC
Asgr1	0	1.378048036	0.803	0.104	0	HCC
Apoh	0	1.370113863	0.912	0.24	0	HCC
Aldob	0	1.367657503	0.827	0.16	0	HCC
Fth1	0	1.36701333	0.969	0.566	0	HCC
Apoa2	0	1.359277907	0.997	0.883	0	HCC
Sc5d	0	1.357354667	0.779	0.12	0	HCC
Pzp	0	1.333300686	0.769	0.2	0	HCC
Ppib	0	1.331616477	0.871	0.259	0	HCC
Hpd	0	1.326729977	0.644	0.045	0	HCC
Angptl8	0	1.325344617	0.575	0.051	0	HCC
Cd302	0	1.315690089	0.762	0.136	0	HCC
Angptl3	0	1.306768625	0.761	0.109	0	HCC
Adh1	0	1.302062297	0.853	0.195	0	HCC
Apof	0	1.301834986	0.797	0.143	0	HCC
Cpb2	0	1.294933625	0.785	0.115	0	HCC
Phyh	0	1.285879669	0.804	0.152	0	HCC
Tmem205	0	1.273472235	0.852	0.19	0	HCC
Gchfr	0	1.264279865	0.8	0.129	0	HCC
Fetub	0	1.262517946	0.757	0.11	0	HCC
Apoc3	0	1.259935849	0.999	0.939	0	HCC
Scp2	0	1.258346218	0.918	0.34	0	HCC
Slc25a47	0	1.256767406	0.651	0.055	0	HCC
Pnpla7	0	1.256626537	0.81	0.149	0	HCC
Fah	0	1.25261243	0.697	0.079	0	HCC
Mup3	0	1.247202846	0.603	0.089	0	HCC
Gamt	0	1.241037273	0.711	0.098	0	HCC
Chchd10	0	1.239219139	0.808	0.158	0	HCC
Tmem37	0	1.23579599	0.662	0.081	0	HCC
Rdh16f2	0	1.233518537	0.713	0.064	0	HCC
Krt18	0	1.214572772	0.879	0.164	0	HCC
Ly6d	0	1.201532652	0.862	0.254	0	HCC
Pck1	0	1.19741815	0.7	0.131	0	HCC
Ambp	0	1.19651431	0.943	0.351	0	HCC
Pemt	0	1.195986317	0.624	0.041	0	HCC
Trf	0	1.189224985	0.864	0.491	0	HCC
P4hb	0	1.188857493	0.853	0.314	0	HCC
Fbp1	0	1.181469628	0.788	0.145	0	HCC
Pold4	0	1.1789943	0.735	0.12	0	HCC
Serpina12	0	1.177442473	0.763	0.119	0	HCC
Fabp5	0	1.175632343	0.814	0.215	0	HCC
Cfb	0	1.1754296	0.669	0.096	0	HCC
Ifi27l2b	0	1.170059812	0.772	0.13	0	HCC
Bsg	0	1.165619417	0.894	0.291	0	HCC
Vtn	0	1.165560966	0.829	0.199	0	HCC
Rarres2	0	1.163931094	0.816	0.165	0	HCC
Gsta3	0	1.163798776	0.776	0.142	0	HCC
Kng2	0	1.160902311	0.785	0.141	0	HCC
Gc	0	1.154390758	0.959	0.449	0	HCC
Atp5g1	0	1.141775776	0.862	0.233	0	HCC
Apoc1	0	1.133759974	0.994	0.819	0	HCC
Nrn1	0	1.132974483	0.775	0.142	0	HCC
Serpind1	0	1.130432554	0.709	0.108	0	HCC
Cyp2d26	0	1.128045317	0.691	0.084	0	HCC
Scd1	0	1.119794951	0.795	0.256	0	HCC
Ssr4	0	1.118383178	0.824	0.226	0	HCC
Glud1	0	1.118358737	0.882	0.336	0	HCC
Stard10	0	1.103979397	0.794	0.162	0	HCC
Grhpr	0	1.102478835	0.648	0.083	0	HCC
Mt1	0	1.094183627	0.953	0.498	0	HCC
Apoa4	0	1.089773132	0.666	0.089	0	HCC
Gstt1	0	1.088511967	0.675	0.097	0	HCC
Igfbp2	0	1.081857606	0.602	0.046	0	HCC
Prdx6	0	1.081253986	0.783	0.167	0	HCC
Afp	0	1.075244951	0.611	0.118	0	HCC
Tat	0	1.071455973	0.723	0.129	0	HCC
Sult1a1	0	1.069119285	0.722	0.121	0	HCC
Bhmt	0	1.067727382	0.682	0.128	0	HCC
C4bp	0	1.053727716	0.706	0.101	0	HCC
Plg	0	1.053438307	0.719	0.129	0	HCC
Spp2	0	1.052733475	0.709	0.088	0	HCC
Cfhr2	0	1.051669668	0.704	0.097	0	HCC
Gstz1	0	1.049909504	0.702	0.095	0	HCC
Prdx1	0	1.045240658	0.963	0.56	0	HCC
Tstd1	0	1.042653691	0.892	0.266	0	HCC
Haao	0	1.036152563	0.594	0.031	0	HCC
Akr1c6	0	1.036149565	0.732	0.142	0	HCC
Tubb2a	0	1.033944448	0.696	0.132	0	HCC
Qdpr	0	1.02998288	0.716	0.12	0	HCC
Comt	0	1.020007315	0.723	0.141	0	HCC
