	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	TFs	Tclin
Neat1	0	0.479553628	0.559	0.239	0	0	Neat1	#N/A	#N/A
mt-Atp8	0	0.478897591	0.986	0.946	0	0	mt-Atp8	#N/A	#N/A
Egr1	0	0.47824131	0.612	0.403	0	0	Egr1	EGR1	#N/A
Apob	0	0.474990724	0.959	0.879	0	0	Apob	#N/A	#N/A
Serpinf2	0	0.474139353	0.997	0.987	0	0	Serpinf2	#N/A	#N/A
Herpud1	0	0.468569794	0.84	0.796	0	0	Herpud1	#N/A	#N/A
Serpina1a	0	0.459244852	0.998	0.987	0	0	Serpina1a	#N/A	#N/A
Mug2	0	0.439081301	0.687	0.419	0	0	Mug2	#N/A	#N/A
Hpx	0	0.43199233	0.999	1	0	0	Hpx	#N/A	#N/A
Chka	0	0.429459604	0.597	0.372	0	0	Chka	#N/A	#N/A
H2-Q10	0	0.427457727	1	0.997	0	0	H2-Q10	#N/A	#N/A
Lrg1	0	0.426438042	0.987	0.978	0	0	Lrg1	#N/A	#N/A
mt-Atp6	0	0.421711476	0.982	0.946	0	0	mt-Atp6	#N/A	#N/A
Efna1	0	0.409786551	0.76	0.599	0	0	Efna1	#N/A	#N/A
Hal	0	0.402491911	0.721	0.519	0	0	Hal	#N/A	#N/A
Slc38a2	0	0.395652309	0.489	0.164	0	0	Slc38a2	#N/A	#N/A
Btg2	0	0.395154467	0.531	0.291	0	0	Btg2	BTG2	#N/A
Txnip	0	0.381603946	0.35	0.108	0	0	Txnip	#N/A	#N/A
Acsl5	0	0.372203644	0.923	0.915	0	0	Acsl5	#N/A	#N/A
Dhcr24	0	0.360414174	0.799	0.587	0	0	Dhcr24	#N/A	#N/A
H2-K1	0	0.360012718	0.992	0.974	0	0	H2-K1	#N/A	#N/A
Scarb1	0	0.359615078	0.797	0.591	0	0	Scarb1	#N/A	#N/A
Vtn	0	0.358612024	0.993	0.983	0	0	Vtn	#N/A	#N/A
Cfh	0	0.357726027	0.813	0.646	0	0	Cfh	#N/A	#N/A
Rgs16	0	0.355935337	0.415	0.126	0	0	Rgs16	#N/A	#N/A
Itih4	0	0.349700624	0.919	0.839	0	0	Itih4	#N/A	#N/A
Cyr61	0	0.345563243	0.262	0.059	0	0	Cyr61	#N/A	#N/A
Rrbp1	0	0.342120548	0.969	0.953	0	0	Rrbp1	#N/A	#N/A
Hgfac	0	0.338939647	0.807	0.591	0	0	Hgfac	#N/A	#N/A
C4b	0	0.336996328	0.658	0.429	0	0	C4b	#N/A	#N/A
Nid1	0	0.33351681	0.493	0.179	0	0	Nid1	#N/A	#N/A
Plg	0	0.332625682	0.971	0.935	0	0	Plg	#N/A	PLG
Col18a1	0	0.328198263	0.476	0.15	0	0	Col18a1	#N/A	#N/A
Klf6	0	0.323531725	0.31	0.077	0	0	Klf6	KLF6	#N/A
Ces2e	0	0.321041173	0.931	0.87	0	0	Ces2e	#N/A	#N/A
Slc7a2	0	0.315611583	0.404	0.14	0	0	Slc7a2	#N/A	#N/A
Atp1a1	0	0.313807271	0.456	0.173	0	0	Atp1a1	#N/A	ATP1A1
F12	0	0.312534623	0.79	0.599	0	0	F12	#N/A	#N/A
Alcam	0	0.311998433	0.505	0.217	0	0	Alcam	#N/A	#N/A
Itih1	0	0.310036236	0.713	0.514	0	0	Itih1	#N/A	#N/A
Hmgcr	0	0.305881417	0.454	0.165	0	0	Hmgcr	#N/A	HMGCR
Son	0	0.305097963	0.486	0.21	0	0	Son	SON	#N/A
H2-T23	0	0.302014556	0.817	0.635	0	0	H2-T23	#N/A	#N/A
Errfi1	0	0.297463425	0.937	0.931	0	0	Errfi1	#N/A	#N/A
Sds	0	0.292961548	0.347	0.121	0	0	Sds	#N/A	#N/A
Aplp2	0	0.292861222	0.488	0.238	0	0	Aplp2	#N/A	#N/A
Dusp1	0	0.291580211	0.305	0.09	0	0	Dusp1	#N/A	#N/A
Slc25a25	0	0.286145928	0.426	0.154	0	0	Slc25a25	#N/A	#N/A
Fst	0	0.282445108	0.419	0.164	0	0	Fst	#N/A	#N/A
Sorbs2	0	0.280059352	0.356	0.119	0	0	Sorbs2	#N/A	#N/A
Itih2	0	0.270840374	0.939	0.897	0	0	Itih2	#N/A	#N/A
Gc	0	0.270730328	1	1	0	0	Gc	#N/A	#N/A
Acsl3	0	0.268322996	0.473	0.182	0	0	Acsl3	#N/A	#N/A
Egfr	0	0.266635754	0.389	0.145	0	0	Egfr	#N/A	EGFR
Aldh1b1	0	0.265055689	0.395	0.156	0	0	Aldh1b1	#N/A	#N/A
Bhlhe40	0	0.261952232	0.426	0.158	0	0	Bhlhe40	BHLHE40	#N/A
Fosb	0	0.260571438	0.221	0.047	0	0	Fosb	FOSB	#N/A
Scd2	0	0.258913109	0.483	0.226	0	0	Scd2	#N/A	#N/A
Sdc1	0	0.251323499	0.459	0.186	0	0	Sdc1	#N/A	#N/A
Enpp2	0	0.250735166	0.469	0.188	0	0	Enpp2	#N/A	#N/A
Trp53inp1	0	0.24831998	0.342	0.125	0	0	Trp53inp1	#N/A	#N/A
Retreg1	0	0.245559408	0.418	0.153	0	0	Retreg1	#N/A	#N/A
Abhd2	0	0.238085255	0.34	0.113	0	0	Abhd2	#N/A	#N/A
Lpin1	0	0.233032097	0.314	0.098	0	0	Lpin1	#N/A	#N/A
Pcsk9	0	0.23241181	0.37	0.119	0	0	Pcsk9	#N/A	PCSK9
Tfr2	0	0.231304024	0.401	0.159	0	0	Tfr2	#N/A	#N/A
Dhcr7	0	0.228655839	0.454	0.201	0	0	Dhcr7	#N/A	#N/A
Lss	0	0.228515757	0.378	0.142	0	0	Lss	#N/A	#N/A
P2rx4	0	0.220832521	0.388	0.154	0	0	P2rx4	#N/A	#N/A
Dsg2	0	0.220661923	0.317	0.109	0	0	Dsg2	#N/A	#N/A
Lrp1	0	0.218672109	0.326	0.104	0	0	Lrp1	#N/A	#N/A
Slc2a2	0	0.218473814	0.311	0.103	0	0	Slc2a2	#N/A	#N/A
Stard4	0	0.21817658	0.37	0.131	0	0	Stard4	#N/A	#N/A
Fasn	0	0.216832565	0.327	0.113	0	0	Fasn	#N/A	#N/A
Rora	0	0.216397656	0.409	0.171	0	0	Rora	RORA	#N/A
Hnf4a	0	0.215560239	0.367	0.143	0	0	Hnf4a	HNF4A	#N/A
Cdh1	0	0.213157589	0.274	0.077	0	0	Cdh1	#N/A	#N/A
Nr2f6	0	0.21277826	0.378	0.139	0	0	Nr2f6	NR2F6	#N/A
Golgb1	0	0.210170047	0.384	0.142	0	0	Golgb1	#N/A	#N/A
Iqgap2	0	0.20510402	0.412	0.168	0	0	Iqgap2	#N/A	#N/A
Tmprss6	0	0.204783069	0.363	0.132	0	0	Tmprss6	#N/A	#N/A
F7	0	0.203636104	0.388	0.154	0	0	F7	#N/A	#N/A
B4galnt1	0	0.200302749	0.4	0.161	0	0	B4galnt1	#N/A	#N/A
Ppp1r15a	6.21E-308	0.214621233	0.289	0.092	8.87E-304	0	Ppp1r15a	#N/A	#N/A
Lpin2	1.94E-304	0.230023292	0.364	0.145	2.77E-300	0	Lpin2	#N/A	#N/A
Igfbp1	2.42E-302	0.394133109	0.996	0.995	3.46E-298	0	Igfbp1	#N/A	#N/A
Rbm39	4.98E-300	0.246920729	0.55	0.289	7.11E-296	0	Rbm39	#N/A	#N/A
Kif21a	2.17E-299	0.204512077	0.404	0.17	3.10E-295	0	Kif21a	#N/A	#N/A
Pigr	5.65E-299	0.271967028	0.372	0.151	8.08E-295	0	Pigr	#N/A	#N/A
Slc39a14	1.67E-297	0.210205565	0.294	0.1	2.39E-293	0	Slc39a14	#N/A	#N/A
Gdf15	1.75E-297	0.556925512	0.595	0.421	2.51E-293	0	Gdf15	#N/A	#N/A
Serpind1	1.25E-293	0.393994091	0.892	0.883	1.79E-289	0	Serpind1	#N/A	#N/A
Acly	1.36E-291	0.223975972	0.476	0.227	1.94E-287	0	Acly	#N/A	#N/A
C1ra	1.33E-275	0.200686239	0.416	0.187	1.91E-271	0	C1ra	#N/A	#N/A
Itih3	3.27E-275	0.311074171	0.886	0.791	4.67E-271	0	Itih3	#N/A	#N/A
Atp1b1	2.51E-268	0.202536183	0.474	0.235	3.58E-264	0	Atp1b1	#N/A	ATP1B1
8430408G22Rik	5.58E-265	0.355463656	0.87	0.83	7.98E-261	0	8430408G22Rik	#N/A	#N/A
Clu	1.23E-263	0.714889555	0.998	0.995	1.76E-259	0	Clu	#N/A	#N/A
Hc	3.70E-263	0.293395097	0.642	0.453	5.29E-259	0	Hc	#N/A	#N/A
Proc	7.04E-263	0.342660974	0.853	0.814	1.01E-258	0	Proc	#N/A	#N/A
Mvk	1.82E-254	0.240468572	0.475	0.25	2.60E-250	0	Mvk	#N/A	#N/A
Selenbp2	1.28E-251	0.223141366	0.21	0.058	1.82E-247	0	Selenbp2	#N/A	#N/A
Serpine1	9.09E-249	0.262376349	0.189	0.048	1.30E-244	0	Serpine1	#N/A	#N/A
Cd81	2.96E-246	0.463053281	0.93	0.957	4.23E-242	0	Cd81	#N/A	#N/A
Apoa5	2.31E-242	0.228546835	0.442	0.22	3.31E-238	0	Apoa5	#N/A	#N/A
Meg3	7.86E-242	0.223555392	0.211	0.062	1.12E-237	0	Meg3	#N/A	#N/A
Ptp4a1	1.59E-236	0.21679105	0.494	0.263	2.27E-232	0	Ptp4a1	#N/A	#N/A
Cxadr	1.21E-235	0.231092358	0.543	0.321	1.73E-231	0	Cxadr	#N/A	#N/A
Cyp2d26	1.44E-235	0.301955224	0.912	0.901	2.06E-231	0	Cyp2d26	#N/A	#N/A
Irf2bp2	1.80E-234	0.215766676	0.282	0.111	2.58E-230	0	Irf2bp2	#N/A	#N/A
G6pc	2.43E-234	0.292890597	0.463	0.256	3.48E-230	0	G6pc	#N/A	#N/A
Oaf	5.33E-229	0.3003806	0.737	0.586	7.61E-225	0	Oaf	#N/A	#N/A
F5	1.94E-227	0.215472973	0.536	0.32	2.77E-223	0	F5	#N/A	#N/A
Sdc4	1.17E-226	0.272839525	0.796	0.656	1.67E-222	0	Sdc4	#N/A	#N/A
Tmbim6	2.90E-225	0.207490063	0.999	0.999	4.14E-221	0	Tmbim6	#N/A	#N/A
C1s1	1.38E-223	0.239159422	0.594	0.403	1.97E-219	0	C1s1	#N/A	#N/A
Cfi	1.56E-223	0.345717657	0.972	0.984	2.23E-219	0	Cfi	#N/A	#N/A
Zfp36l1	9.41E-220	0.302687767	0.728	0.587	1.35E-215	0	Zfp36l1	#N/A	#N/A
Osgin1	7.82E-219	0.226803418	0.436	0.227	1.12E-214	0	Osgin1	#N/A	#N/A
Srsf5	1.42E-218	0.206661451	0.447	0.238	2.04E-214	0	Srsf5	#N/A	#N/A
Hpn	5.07E-215	0.251697208	0.83	0.738	7.25E-211	0	Hpn	#N/A	#N/A
Lifr	1.28E-210	0.26093672	0.492	0.285	1.83E-206	0	Lifr	#N/A	#N/A
Gm4788	1.58E-209	0.211657157	0.55	0.35	2.26E-205	0	Gm4788	#N/A	#N/A
Gm26917	2.13E-202	0.3183593	0.46	0.28	3.05E-198	0	Gm26917	#N/A	#N/A
Ubc	6.29E-201	0.296839186	0.809	0.694	8.98E-197	0	Ubc	#N/A	#N/A
Pglyrp2	1.47E-197	0.272038862	0.618	0.462	2.11E-193	0	Pglyrp2	#N/A	#N/A
Gls2	1.48E-196	0.229516193	0.617	0.438	2.11E-192	0	Gls2	#N/A	#N/A
Ier3	3.98E-195	0.30688317	0.317	0.146	5.68E-191	0	Ier3	#N/A	#N/A
Mar-01	8.91E-195	0.25886375	0.671	0.51	1.27E-190	0	Mar-01	#N/A	#N/A
Ftcd	2.95E-193	0.218813117	0.606	0.428	4.22E-189	0	Ftcd	#N/A	#N/A
Srrm2	5.88E-187	0.20531826	0.576	0.391	8.40E-183	0	Srrm2	#N/A	#N/A
Serpinc1	1.28E-186	0.251912569	0.994	0.995	1.83E-182	0	Serpinc1	#N/A	SERPINC1
Fgb	6.34E-186	0.31020072	1	1	9.07E-182	0	Fgb	#N/A	#N/A
1300017J02Rik	6.12E-182	0.239519586	0.769	0.594	8.75E-178	0	1300017J02Rik	#N/A	#N/A
Itih5	1.18E-181	0.212386962	0.584	0.407	1.69E-177	0	Itih5	#N/A	#N/A
Afm	1.29E-181	0.225804707	0.776	0.638	1.84E-177	0	Afm	#N/A	#N/A
Ddit4	1.24E-178	0.268631728	0.292	0.133	1.77E-174	0	Ddit4	#N/A	#N/A
Ces1c	1.54E-176	0.250076711	0.815	0.667	2.20E-172	0	Ces1c	#N/A	#N/A
mt-Co2	5.07E-176	0.246445873	0.999	0.992	7.24E-172	0	mt-Co2	#N/A	#N/A
Aqp8	3.08E-170	0.343963743	0.633	0.479	4.40E-166	0	Aqp8	#N/A	#N/A
Kng2	1.36E-168	0.264167769	0.951	0.961	1.95E-164	0	Kng2	#N/A	#N/A
Qsox1	2.73E-166	0.221200071	0.519	0.352	3.90E-162	0	Qsox1	#N/A	#N/A
Slc37a4	5.36E-166	0.200770458	0.483	0.302	7.66E-162	0	Slc37a4	#N/A	#N/A
Tm4sf4	4.27E-165	0.334591738	0.898	0.911	6.10E-161	0	Tm4sf4	#N/A	#N/A
F11r	7.32E-164	0.203125978	0.632	0.472	1.05E-159	0	F11r	#N/A	#N/A
Iigp1	1.26E-159	0.220428563	0.74	0.615	1.80E-155	0	Iigp1	#N/A	#N/A
Slc27a5	3.42E-159	0.224306738	0.618	0.472	4.89E-155	0	Slc27a5	#N/A	#N/A
Agxt	7.10E-159	0.238141061	0.755	0.662	1.01E-154	0	Agxt	#N/A	#N/A
Rdh11	1.20E-158	0.269996244	0.597	0.418	1.71E-154	0	Rdh11	#N/A	#N/A
Cpn1	8.29E-155	0.204567702	0.637	0.487	1.19E-150	0	Cpn1	#N/A	#N/A
Slc38a3	8.21E-154	0.210429665	0.78	0.654	1.17E-149	0	Slc38a3	#N/A	#N/A
Got1	2.37E-152	0.248267816	0.751	0.626	3.38E-148	0	Got1	#N/A	#N/A
Hp	7.96E-146	0.435252145	0.999	0.994	1.14E-141	0	Hp	#N/A	#N/A
Rdh16f2	7.10E-144	0.218072285	0.895	0.896	1.01E-139	0	Rdh16f2	#N/A	#N/A
Kng1	5.26E-142	0.342095545	1	1	7.52E-138	0	Kng1	#N/A	#N/A
Cfb	5.33E-142	0.351816485	0.856	0.847	7.62E-138	0	Cfb	#N/A	#N/A
Hmgcs1	5.57E-141	0.228756586	0.855	0.864	7.97E-137	0	Hmgcs1	#N/A	#N/A
Tmem176a	2.96E-134	0.236512785	0.935	0.948	4.24E-130	0	Tmem176a	#N/A	#N/A
Tat	1.43E-133	0.286999648	0.875	0.931	2.04E-129	0	Tat	#N/A	#N/A
Atf3	3.16E-132	0.780850846	0.422	0.3	4.52E-128	0	Atf3	ATF3	#N/A
Apof	7.38E-128	0.23658509	0.959	0.976	1.06E-123	0	Apof	#N/A	#N/A
Gadd45g	1.29E-127	0.482321085	0.483	0.368	1.84E-123	0	Gadd45g	#N/A	#N/A
Mat1a	1.73E-122	0.223073235	0.509	0.357	2.47E-118	0	Mat1a	#N/A	#N/A
F10	7.61E-121	0.217734344	0.838	0.79	1.09E-116	0	F10	#N/A	F10
Ahsg	3.04E-114	0.314473996	1	1	4.35E-110	0	Ahsg	#N/A	#N/A
Tmem176b	4.03E-112	0.247260698	0.979	0.989	5.76E-108	0	Tmem176b	#N/A	#N/A
Fga	6.77E-108	0.343596828	0.992	0.994	9.68E-104	0	Fga	#N/A	#N/A
Ifrd1	1.75E-106	0.227590277	0.502	0.376	2.50E-102	0	Ifrd1	#N/A	#N/A
Cxcl1	1.28E-99	0.490320191	0.585	0.514	1.83E-95	0	Cxcl1	#N/A	#N/A
Tspan8	1.09E-90	0.38354271	0.717	0.773	1.56E-86	0	Tspan8	#N/A	#N/A
Hrg	6.56E-82	0.311134688	0.888	0.913	9.37E-78	0	Hrg	#N/A	#N/A
Cpe	6.39E-81	0.220280025	0.597	0.521	9.14E-77	0	Cpe	#N/A	#N/A
Mt2	2.18E-62	0.252589643	0.658	0.619	3.12E-58	0	Mt2	#N/A	#N/A
Cyp2a4	2.57E-59	0.307044907	0.845	0.927	3.68E-55	0	Cyp2a4	#N/A	#N/A
Fdps	3.60E-58	0.239842826	0.917	0.951	5.14E-54	0	Fdps	#N/A	FDPS
Serpina3k	1.12E-51	0.231978524	0.978	0.995	1.60E-47	0	Serpina3k	#N/A	#N/A
Slc25a47	4.82E-49	0.283376428	0.795	0.824	6.89E-45	0	Slc25a47	#N/A	#N/A
Scd1	1.38E-45	0.224370613	0.883	0.926	1.97E-41	0	Scd1	#N/A	#N/A
Fads2	2.48E-42	0.248741579	0.533	0.49	3.54E-38	0	Fads2	#N/A	#N/A
Cxcl13	5.84E-38	0.349757538	0.32	0.248	8.35E-34	0	Cxcl13	#N/A	#N/A
Fgg	2.89E-34	0.21059225	0.993	0.995	4.13E-30	0	Fgg	#N/A	#N/A
Apoa4	3.06E-34	0.342920863	0.756	0.839	4.38E-30	0	Apoa4	#N/A	#N/A
Spp1	7.97E-22	1.305905244	0.258	0.347	1.14E-17	0	Spp1	#N/A	#N/A
Hsd17b2	9.51E-22	0.200258365	0.713	0.74	1.36E-17	0	Hsd17b2	#N/A	#N/A
Apoc1	0	0.8042833	1	1	0	1	Apoc1	#N/A	#N/A
Rpl32	0	0.646021167	0.973	0.882	0	1	Rpl32	#N/A	#N/A
Rps26	0	0.642951056	0.995	0.918	0	1	Rps26	#N/A	#N/A
Sec61g	0	0.634944058	0.998	0.936	0	1	Sec61g	#N/A	#N/A
Atp5e	0	0.617988469	0.999	0.947	0	1	Atp5e	#N/A	#N/A
Rpl34	0	0.594913617	0.989	0.878	0	1	Rpl34	#N/A	#N/A
Rpl36	0	0.547885961	0.992	0.921	0	1	Rpl36	#N/A	#N/A
Nme2	0	0.546389212	0.955	0.868	0	1	Nme2	#N/A	#N/A
Rps15a	0	0.544097405	0.967	0.806	0	1	Rps15a	#N/A	#N/A
Tff3	0	0.541898212	0.963	0.637	0	1	Tff3	#N/A	#N/A
Apoc4	0	0.541731673	1	0.997	0	1	Apoc4	#N/A	#N/A
Rpl37	0	0.528052551	1	0.991	0	1	Rpl37	#N/A	#N/A
Gm42418	0	0.52756247	1	0.999	0	1	Gm42418	#N/A	#N/A
Cox7b	0	0.52366252	0.933	0.702	0	1	Cox7b	#N/A	#N/A
Uba52	0	0.520676989	0.999	0.982	0	1	Uba52	#N/A	#N/A
Uqcr10	0	0.517773947	0.956	0.737	0	1	Uqcr10	#N/A	#N/A
Rpl39	0	0.515047726	0.996	0.847	0	1	Rpl39	#N/A	#N/A
Atp5j2	0	0.51165233	0.997	0.911	0	1	Atp5j2	#N/A	#N/A
Rpl35	0	0.497478258	0.999	0.955	0	1	Rpl35	#N/A	#N/A
Uqcrq	0	0.491694535	1	0.992	0	1	Uqcrq	#N/A	#N/A
Rps17	0	0.483235763	0.902	0.662	0	1	Rps17	#N/A	#N/A
Rpl27	0	0.475776598	0.998	0.928	0	1	Rpl27	#N/A	#N/A
Usmg5	0	0.458195529	0.994	0.835	0	1	Usmg5	#N/A	#N/A
Atox1	0	0.448771927	0.988	0.909	0	1	Atox1	#N/A	#N/A
Gm10076	0	0.447148688	1	0.991	0	1	Gm10076	#N/A	#N/A
Apoa2	0	0.446144313	1	1	0	1	Apoa2	#N/A	#N/A
Atp5g1	0	0.444766199	0.979	0.887	0	1	Atp5g1	#N/A	#N/A
Cox7a2	0	0.442119303	0.988	0.875	0	1	Cox7a2	#N/A	#N/A
Cox6c	0	0.426917208	0.999	0.966	0	1	Cox6c	#N/A	#N/A
Rps5	0	0.426809372	0.976	0.886	0	1	Rps5	#N/A	#N/A
Rps14	0	0.423853827	0.997	0.915	0	1	Rps14	#N/A	#N/A
Ttr	0	0.418120847	1	1	0	1	Ttr	#N/A	TTR
Rps24	0	0.417664099	1	0.988	0	1	Rps24	#N/A	#N/A
Ndufa11	0	0.415089217	0.937	0.734	0	1	Ndufa11	#N/A	NDUFA11
Rpl26	0	0.412248387	0.964	0.831	0	1	Rpl26	#N/A	#N/A
Ndufa7	0	0.411269948	0.969	0.858	0	1	Ndufa7	#N/A	NDUFA7
Tstd1	0	0.399199884	0.996	0.927	0	1	Tstd1	#N/A	#N/A
Rpl10-ps3	0	0.39542145	0.928	0.653	0	1	Rpl10-ps3	#N/A	#N/A
Rps27l	0	0.39384101	0.996	0.885	0	1	Rps27l	#N/A	#N/A
Ndufv3	0	0.392684637	0.941	0.736	0	1	Ndufv3	#N/A	NDUFV3
Rps13	0	0.390153272	0.991	0.866	0	1	Rps13	#N/A	#N/A
Cox6b1	0	0.38942185	0.996	0.919	0	1	Cox6b1	#N/A	#N/A
Ndufb9	0	0.38770203	0.991	0.898	0	1	Ndufb9	#N/A	NDUFB9
Atp5l	0	0.384278582	0.999	0.947	0	1	Atp5l	#N/A	#N/A
Sec61b	0	0.380558836	0.998	0.952	0	1	Sec61b	#N/A	#N/A
Ndufb4	0	0.375267386	0.932	0.714	0	1	Ndufb4	#N/A	NDUFB4
Rps20	0	0.374816792	1	0.991	0	1	Rps20	#N/A	#N/A
Gng5	0	0.369310281	0.989	0.93	0	1	Gng5	#N/A	#N/A
Rps21	0	0.365748089	0.994	0.836	0	1	Rps21	#N/A	#N/A
Rps23	0	0.36385495	0.983	0.823	0	1	Rps23	#N/A	#N/A
Rps11	0	0.360714066	0.971	0.891	0	1	Rps11	#N/A	#N/A
Cox5b	0	0.358314265	0.984	0.902	0	1	Cox5b	#N/A	#N/A
Uqcr11	0	0.352541865	0.998	0.95	0	1	Uqcr11	#N/A	#N/A
Rps7	0	0.351715137	0.998	0.953	0	1	Rps7	#N/A	#N/A
Apoc3	0	0.349265697	1	1	0	1	Apoc3	#N/A	#N/A
S100a10	0	0.331000934	0.953	0.775	0	1	S100a10	#N/A	#N/A
Rps28	0	0.330489448	0.977	0.764	0	1	Rps28	#N/A	#N/A
Rps16	5.69E-307	0.303131349	1	0.994	8.13E-303	1	Rps16	#N/A	#N/A
Rpl22	1.39E-298	0.330111391	0.994	0.893	1.99E-294	1	Rpl22	#N/A	#N/A
Apom	2.32E-298	0.361033865	1	0.992	3.32E-294	1	Apom	#N/A	#N/A
Rps12	5.51E-296	0.319930416	0.967	0.781	7.88E-292	1	Rps12	#N/A	#N/A
Rpl41	9.74E-291	0.319095035	0.999	0.941	1.39E-286	1	Rpl41	#N/A	#N/A
Dbi	1.28E-287	0.243341715	1	1	1.83E-283	1	Dbi	#N/A	#N/A
Ndufc1	4.34E-272	0.318936264	0.992	0.873	6.20E-268	1	Ndufc1	#N/A	NDUFC1
Ndufa3	2.10E-271	0.327752836	0.969	0.772	3.01E-267	1	Ndufa3	#N/A	NDUFA3
Uqcrh	3.66E-270	0.323055368	0.996	0.941	5.24E-266	1	Uqcrh	#N/A	#N/A
Uqcrb	9.44E-270	0.273461093	0.999	0.974	1.35E-265	1	Uqcrb	#N/A	#N/A
Serf2	1.91E-267	0.285721247	0.999	0.968	2.73E-263	1	Serf2	#N/A	#N/A
Rps27a	1.57E-265	0.269993525	1	0.997	2.24E-261	1	Rps27a	#N/A	#N/A
Rpl24	1.45E-262	0.309241031	0.997	0.958	2.07E-258	1	Rpl24	#N/A	#N/A
Rpl38	1.94E-259	0.248091861	0.999	0.932	2.77E-255	1	Rpl38	#N/A	#N/A
Gpx4	8.41E-259	0.273156279	0.994	0.923	1.20E-254	1	Gpx4	#N/A	#N/A
Ndufa2	1.39E-258	0.311078675	0.988	0.874	1.99E-254	1	Ndufa2	#N/A	NDUFA2
Urah	2.85E-258	0.307427699	0.933	0.739	4.07E-254	1	Urah	#N/A	#N/A
Rps18	3.24E-258	0.317821595	0.957	0.807	4.63E-254	1	Rps18	#N/A	#N/A
Rpl13a	3.50E-252	0.305308941	0.921	0.733	5.00E-248	1	Rpl13a	#N/A	#N/A
Nop10	4.75E-249	0.30883953	0.9	0.682	6.79E-245	1	Nop10	#N/A	#N/A
Rpl37a	3.01E-247	0.273941092	0.993	0.867	4.30E-243	1	Rpl37a	#N/A	#N/A
Ndufa4	2.61E-244	0.261120938	1	0.997	3.73E-240	1	Ndufa4	#N/A	NDUFA4
Rpl22l1	3.78E-241	0.310852675	0.906	0.701	5.40E-237	1	Rpl22l1	#N/A	#N/A
AY036118	7.80E-240	0.471992465	0.501	0.294	1.12E-235	1	AY036118	#N/A	#N/A
Rps29	1.18E-235	0.260462871	0.967	0.745	1.68E-231	1	Rps29	#N/A	#N/A
Rpl15	1.13E-233	0.301503905	0.963	0.853	1.62E-229	1	Rpl15	#N/A	#N/A
Mpc2	8.24E-229	0.297255625	0.997	0.941	1.18E-224	1	Mpc2	#N/A	#N/A
Cox7c	9.94E-229	0.248139529	1	0.983	1.42E-224	1	Cox7c	#N/A	#N/A
Ppia	1.74E-226	0.276906939	1	0.984	2.49E-222	1	Ppia	#N/A	PPIA
Ubl5	2.04E-217	0.313837937	0.917	0.723	2.91E-213	1	Ubl5	#N/A	#N/A
Rpl31	2.52E-216	0.314543812	0.827	0.639	3.60E-212	1	Rpl31	#N/A	#N/A
Tpt1	3.44E-210	0.25285356	0.998	0.978	4.92E-206	1	Tpt1	#N/A	#N/A
Rps6	7.81E-208	0.290291746	0.957	0.825	1.12E-203	1	Rps6	#N/A	#N/A
Ddt	4.02E-205	0.269858089	0.988	0.924	5.75E-201	1	Ddt	#N/A	#N/A
