gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
Ahsg	0	0.458408901	1	1	0	0
Proc	0	0.457552633	0.982	0.914	0	0
Cxcl13	5.10E-47	0.455195533	0.37	0.28	7.29E-43	0
Vtn	0	0.447083906	0.997	0.985	0	0
Scarb1	0	0.440607561	0.872	0.634	0	0
Aqp8	4.58E-219	0.440386377	0.694	0.503	6.54E-215	0
Tspan8	5.70E-91	0.438059478	0.724	0.771	8.15E-87	0
Apoa4	3.90E-70	0.433628595	0.785	0.849	5.58E-66	0
Cyp2a4	3.63E-174	0.425658462	0.884	0.943	5.19E-170	0
Hgfac	0	0.422237984	0.896	0.632	0	0
H2-K1	0	0.415768976	0.992	0.97	0	0
Tm4sf4	4.60E-263	0.41494096	0.949	0.941	6.57E-259	0
Mug2	0	0.411729124	0.64	0.357	0	0
Fgb	0	0.410909452	1	1	0	0
mt-Co1	0	0.410064685	0.999	0.994	0	0
Txnip	0	0.403475978	0.333	0.092	0	0
Neat1	0	0.401023539	0.452	0.123	0	0
Cyp2d26	0	0.400663751	0.959	0.924	0	0
Oaf	0	0.400045551	0.868	0.659	0	0
Slc25a47	1.37E-168	0.396177157	0.902	0.916	1.96E-164	0
Ces2e	0	0.394126385	0.948	0.865	0	0
Hes1	0	0.38565129	0.435	0.106	0	0
Itih1	0	0.3805127	0.789	0.552	0	0
Mup3	8.10E-20	0.379891352	0.694	0.642	1.16E-15	0
8430408G22Rik	1.33E-211	0.377011583	0.875	0.831	1.91E-207	0
F12	0	0.376154921	0.826	0.588	0	0
Cfh	0	0.375208215	0.795	0.607	0	0
Pglyrp2	0	0.374404825	0.783	0.534	0	0
Egr1	8.43E-195	0.374364476	0.526	0.323	1.21E-190	0
Tmem176b	0	0.373784987	1	0.999	0	0
Fdps	0	0.373759086	0.992	0.99	0	0
Ier3	3.91E-194	0.373255269	0.354	0.155	5.59E-190	0
Kng2	0	0.369055989	0.994	0.986	0	0
Plg	0	0.368609078	0.972	0.928	0	0
Slc38a2	0	0.368080416	0.425	0.101	0	0
Serpinc1	0	0.365210946	1	0.998	0	0
Fads2	4.08E-149	0.363849237	0.699	0.572	5.83E-145	0
Rrbp1	0	0.362984031	0.963	0.946	0	0
Serpina3k	1.38E-265	0.351997501	0.989	0.997	1.97E-261	0
Jund	1.77E-303	0.351916456	0.565	0.306	2.53E-299	0
Rgs16	0	0.349704742	0.401	0.118	0	0
Apof	0	0.349481594	0.989	0.985	0	0
Tmem176a	0	0.348901824	0.991	0.973	0	0
Itih4	4.07E-283	0.348194407	0.9	0.813	5.82E-279	0
Mar-01	7.54E-306	0.345640444	0.785	0.57	1.08E-301	0
Ddit4	2.87E-203	0.345634766	0.342	0.142	4.11E-199	0
Chka	6.41E-226	0.341484869	0.532	0.315	9.15E-222	0
Fgg	2.82E-239	0.339835654	0.999	0.997	4.03E-235	0
Hpn	0	0.339491212	0.91	0.766	0	0
H2-T23	4.04E-306	0.334619168	0.814	0.594	5.78E-302	0
Gc	0	0.333811115	1	1	0	0
Scd1	6.97E-62	0.333555302	0.861	0.923	9.96E-58	0
Dhcr24	4.56E-293	0.3329388	0.74	0.515	6.52E-289	0
mt-Atp6	2.25E-223	0.331242714	0.975	0.936	3.22E-219	0
Col18a1	0	0.326604081	0.434	0.106	0	0
Itih3	4.79E-214	0.323367304	0.879	0.768	6.85E-210	0
1300017J02Rik	3.17E-290	0.322299122	0.876	0.645	4.53E-286	0
Rdh16f2	0	0.321842466	0.971	0.938	0	0
Ces1c	2.09E-206	0.320141925	0.833	0.629	2.99E-202	0
Agxt	8.69E-272	0.319208123	0.853	0.719	1.24E-267	0
Dusp1	0	0.318725883	0.315	0.083	0	0
Tat	6.23E-138	0.31787418	0.882	0.936	8.90E-134	0
Mvk	0	0.313863572	0.572	0.276	0	0
Hsd17b2	8.34E-138	0.312095771	0.872	0.85	1.19E-133	0
Klf6	0	0.311087871	0.283	0.063	0	0
F10	9.64E-275	0.310480393	0.934	0.855	1.38E-270	0
Aldh1b1	5.58E-297	0.308460824	0.422	0.158	7.98E-293	0
Rdh11	8.24E-153	0.308096399	0.62	0.421	1.18E-148	0
Tdo2	2.50E-133	0.305830541	0.942	0.964	3.57E-129	0
Errfi1	3.49E-271	0.304817991	0.945	0.93	4.99E-267	0
Serpina3m	3.29E-281	0.29996655	0.995	0.992	4.70E-277	0
Got1	9.37E-173	0.298911966	0.794	0.64	1.34E-168	0
Tmbim6	0	0.298540737	1	0.999	0	0
Btg2	1.23E-198	0.297280163	0.458	0.25	1.76E-194	0
Nid1	0	0.296749558	0.412	0.098	0	0
Slc27a5	1.84E-225	0.294240744	0.705	0.517	2.63E-221	0
Zfp36l1	1.08E-154	0.29340632	0.707	0.558	1.55E-150	0
Selenbp1	3.76E-220	0.291791814	0.918	0.841	5.37E-216	0
Gls2	7.79E-259	0.291736679	0.716	0.49	1.11E-254	0
Cfhr2	0	0.288701149	0.979	0.956	0	0
Fst	2.21E-304	0.287866712	0.428	0.163	3.15E-300	0
Slc25a25	0	0.286184631	0.409	0.122	0	0
Lifr	4.09E-164	0.285873829	0.491	0.288	5.84E-160	0
Serpine1	2.60E-236	0.283933236	0.197	0.043	3.72E-232	0
Selenbp2	3.17E-273	0.283044647	0.255	0.064	4.53E-269	0
Cd9	2.70E-176	0.281650699	0.918	0.915	3.86E-172	0
Afm	6.00E-210	0.28067806	0.811	0.623	8.58E-206	0
Cyp2d10	3.40E-243	0.279870877	0.939	0.884	4.86E-239	0
Hmgcr	0	0.277042162	0.409	0.129	0	0
C4b	7.96E-214	0.274959531	0.552	0.328	1.14E-209	0
Actg1	7.77E-111	0.274203419	0.931	0.966	1.11E-106	0
Ifrd1	2.97E-111	0.273008826	0.554	0.414	4.25E-107	0
Atp1a1	0	0.270785426	0.392	0.122	0	0
Cpn1	5.88E-233	0.270123362	0.75	0.55	8.41E-229	0
Slc38a4	4.14E-180	0.268500684	0.757	0.6	5.92E-176	0
Serpinf1	3.83E-196	0.267890729	0.906	0.894	5.47E-192	0
Sc5d	8.25E-220	0.266870064	0.977	0.974	1.18E-215	0
Hc	8.65E-182	0.266605689	0.577	0.383	1.24E-177	0
Rdh7	1.47E-180	0.266408743	0.891	0.835	2.10E-176	0
Slc38a3	1.55E-196	0.265686185	0.836	0.682	2.21E-192	0
P2rx4	0	0.265546034	0.449	0.165	0	0
G6pc	3.82E-211	0.265186209	0.392	0.175	5.47E-207	0
Nr0b2	5.75E-155	0.264729796	0.642	0.478	8.21E-151	0
Cldn3	2.16E-223	0.264157087	0.886	0.796	3.09E-219	0
Bhlhe40	0	0.26301972	0.422	0.147	0	0
Acsl3	0	0.261112701	0.468	0.173	0	0
Bsg	6.15E-162	0.259085782	0.999	1	8.79E-158	0
Cyp2c40	6.17E-126	0.258178094	0.319	0.156	8.82E-122	0
Mup20	0.009093585	0.258038565	0.888	0.952	1	0
Ambp	1.59E-245	0.257666418	1	1	2.28E-241	0
Igfbp2	9.11E-120	0.257331432	0.807	0.686	1.30E-115	0
Egfr	1.84E-284	0.257157708	0.363	0.126	2.63E-280	0
Itih2	1.45E-227	0.256884235	0.921	0.88	2.07E-223	0
Cpq	0	0.256411676	0.455	0.162	0	0
Glud1	2.09E-235	0.255792914	0.999	0.998	2.98E-231	0
Retreg1	0	0.255493894	0.432	0.148	0	0
Slc37a4	2.95E-191	0.25402833	0.548	0.325	4.21E-187	0
Ftcd	1.53E-200	0.253721607	0.669	0.47	2.18E-196	0
Pnrc1	4.39E-107	0.253474839	0.837	0.75	6.28E-103	0
Agpat2	1.84E-162	0.253288878	0.894	0.841	2.63E-158	0
Tm7sf2	1.15E-221	0.25308069	0.616	0.351	1.64E-217	0
Bex1	9.36E-158	0.251580406	0.288	0.121	1.34E-153	0
Aadac	1.06E-160	0.24972485	0.864	0.733	1.52E-156	0
Lbp	1.72E-165	0.249077436	0.493	0.284	2.46E-161	0
Grhpr	9.64E-242	0.248036356	0.967	0.937	1.38E-237	0
Actb	2.06E-230	0.246294376	0.999	0.998	2.94E-226	0
H2-D1	1.39E-175	0.245879559	0.932	0.927	1.98E-171	0
Tpst2	2.10E-250	0.244225641	0.522	0.261	3.00E-246	0
Slc27a2	7.88E-132	0.243509965	0.865	0.733	1.13E-127	0
Gm4788	7.83E-203	0.241573493	0.598	0.377	1.12E-198	0
Acss2	1.94E-171	0.241315322	0.483	0.27	2.78E-167	0
Pcsk9	0	0.240022285	0.364	0.105	0	0
Enpp2	0	0.239778001	0.443	0.155	0	0
Slc2a2	8.61E-292	0.23961354	0.326	0.101	1.23E-287	0
Serpina1d	7.61E-202	0.239538667	1	1	1.09E-197	0
Mvd	1.04E-263	0.239290793	0.456	0.199	1.48E-259	0
Cyc1	5.59E-230	0.238746508	0.949	0.914	7.99E-226	0
Son	0	0.238720294	0.379	0.115	0	0
Sdc1	1.19E-307	0.238535618	0.432	0.161	1.70E-303	0
Amdhd1	4.12E-219	0.238529742	0.811	0.606	5.90E-215	0
Alcam	4.27E-307	0.237680417	0.426	0.158	6.11E-303	0
Fasn	6.67E-297	0.237651949	0.325	0.097	9.53E-293	0
Pdia6	8.25E-225	0.237027636	0.992	0.989	1.18E-220	0
Mid1ip1	3.78E-225	0.236602926	0.354	0.139	5.40E-221	0
Hilpda	9.97E-192	0.23614846	0.277	0.101	1.42E-187	0
F7	0	0.235893899	0.418	0.152	0	0
Cyp2c70	3.65E-110	0.23546376	0.982	0.991	5.21E-106	0
Cpe	1.19E-59	0.235233542	0.59	0.522	1.70E-55	0
Cxadr	4.21E-182	0.234611133	0.56	0.338	6.02E-178	0
Sdc4	9.15E-141	0.234529931	0.748	0.603	1.31E-136	0
Id3	9.72E-64	0.234423653	0.374	0.256	1.39E-59	0
Acly	4.81E-244	0.234126198	0.476	0.22	6.87E-240	0
Dgat2	4.26E-159	0.233586799	0.759	0.607	6.09E-155	0
Ugt2b5	2.21E-171	0.232600312	0.869	0.763	3.16E-167	0
Sephs2	2.76E-172	0.232026426	0.935	0.906	3.94E-168	0
Itm2b	2.05E-229	0.232016618	0.999	1	2.92E-225	0
Ppp1r15a	4.97E-273	0.231426351	0.301	0.09	7.11E-269	0
P4hb	0	0.231250866	0.999	0.999	0	0
C1s1	1.76E-162	0.230384322	0.583	0.395	2.51E-158	0
Atp5a1	6.40E-216	0.22988992	0.893	0.757	9.14E-212	0
Lss	2.19E-281	0.229674064	0.366	0.128	3.13E-277	0
B4galnt1	8.54E-304	0.22924143	0.433	0.162	1.22E-299	0
Apoa5	1.02E-221	0.229198794	0.407	0.176	1.46E-217	0
Nipal1	0	0.229094152	0.321	0.077	0	0
Iqgap2	4.20E-299	0.228982208	0.417	0.152	6.01E-295	0
Ifngr1	7.37E-233	0.228807477	0.461	0.216	1.05E-228	0
Scd2	8.40E-302	0.228732962	0.394	0.136	1.20E-297	0
Ctsb	2.01E-141	0.228427128	0.91	0.833	2.88E-137	0
Rbm39	1.81E-260	0.228273882	0.483	0.214	2.59E-256	0
Hsp90b1	4.29E-236	0.226743997	0.994	0.994	6.13E-232	0
Sds	4.31E-211	0.226203502	0.311	0.115	6.16E-207	0
Naxd	1.19E-262	0.225202195	0.5	0.231	1.71E-258	0
Degs1	2.28E-208	0.224419158	0.526	0.28	3.26E-204	0
Cyr61	4.03E-241	0.224375294	0.196	0.041	5.77E-237	0
Qprt	1.51E-171	0.22419683	0.856	0.663	2.16E-167	0
Rdh5	2.97E-164	0.223845686	0.551	0.347	4.25E-160	0
Tfr2	7.68E-278	0.221968441	0.362	0.126	1.10E-273	0
Golgb1	0	0.221517718	0.388	0.128	0	0
Cbs	6.52E-162	0.221385077	0.713	0.547	9.32E-158	0
Azgp1	5.43E-202	0.221228663	0.999	0.998	7.76E-198	0
Qsox1	1.36E-129	0.220579047	0.491	0.324	1.94E-125	0
Apoh	6.80E-223	0.220259363	1	0.998	9.72E-219	0
Gm26917	8.02E-101	0.219014516	0.359	0.22	1.15E-96	0
Pigr	1.96E-258	0.218712144	0.296	0.09	2.80E-254	0
Psap	4.88E-147	0.217932999	0.67	0.508	6.98E-143	0
F5	1.57E-189	0.217224919	0.524	0.299	2.25E-185	0
Ly6e	6.96E-123	0.216823106	0.983	0.981	9.95E-119	0
Gm35696	2.87E-111	0.216245522	0.43	0.263	4.10E-107	0
Ldha	1.77E-150	0.215976534	0.994	0.992	2.53E-146	0
Vnn3	3.07E-119	0.215527098	0.471	0.293	4.38E-115	0
mt-Co2	2.69E-61	0.215321481	0.998	0.991	3.85E-57	0
Tmprss6	2.12E-293	0.214452258	0.358	0.118	3.04E-289	0
Ubc	4.12E-92	0.214082489	0.75	0.641	5.89E-88	0
Dhcr7	7.58E-239	0.213891507	0.425	0.183	1.08E-234	0
Slc39a4	7.87E-159	0.213307127	0.494	0.285	1.13E-154	0
Cdkn2b	1.05E-243	0.213139065	0.374	0.143	1.51E-239	0
Srrm2	6.40E-160	0.212923955	0.588	0.393	9.14E-156	0
C1ra	8.76E-232	0.212854448	0.422	0.183	1.25E-227	0
Gamt	4.71E-164	0.212379034	0.971	0.948	6.73E-160	0
Mat1a	1.02E-109	0.212351646	0.449	0.282	1.45E-105	0
Il11ra1	9.61E-266	0.212241006	0.369	0.135	1.37E-261	0
Arg1	5.06E-124	0.211931252	0.894	0.847	7.24E-120	0
Akr7a5	1.63E-172	0.211752555	0.908	0.799	2.34E-168	0
Iigp1	4.62E-110	0.211503683	0.702	0.573	6.60E-106	0
Uroc1	3.89E-218	0.211356934	0.524	0.265	5.55E-214	0
Ass1	1.16E-181	0.210776683	0.999	0.994	1.66E-177	0
Osgin1	4.64E-218	0.210621108	0.371	0.149	6.63E-214	0
Tmem54	1.86E-127	0.209413117	0.309	0.149	2.66E-123	0
F11	6.27E-198	0.209238517	0.491	0.254	8.96E-194	0
Slc7a2	0	0.208265443	0.287	0.07	0	0
Aplp2	3.15E-276	0.207314946	0.349	0.118	4.50E-272	0
F11r	2.44E-128	0.20637117	0.641	0.484	3.49E-124	0
Echdc3	2.17E-162	0.205773348	0.749	0.575	3.10E-158	0
Xbp1	1.21E-107	0.205686402	0.919	0.925	1.73E-103	0
Cyp2d22	6.78E-144	0.205166491	0.574	0.394	9.68E-140	0
Ifi27l2b	4.34E-116	0.204665941	0.975	0.981	6.21E-112	0
Atp1b1	1.24E-214	0.203599278	0.492	0.244	1.77E-210	0
AI182371	1.12E-138	0.20337986	0.867	0.759	1.60E-134	0
Zfyve21	7.58E-259	0.203310223	0.405	0.159	1.08E-254	0
Mt2	4.77E-17	0.202118532	0.575	0.559	6.82E-13	0
Tpr	8.59E-221	0.201904984	0.459	0.211	1.23E-216	0
Acp5	1.05E-148	0.201753157	0.717	0.55	1.50E-144	0
Cd151	2.40E-192	0.201360143	0.47	0.241	3.43E-188	0
Nudt19	7.68E-24	0.200717916	0.471	0.397	1.10E-19	0
Agt	2.47E-190	0.200529978	0.947	0.93	3.53E-186	0
Gm42418	0	1.879508672	1	0.999	0	1
Apoc1	0	0.688646713	1	1	0	1
Gm10076	0	0.588012141	1	0.988	0	1
Rps21	0	0.571455492	0.994	0.787	0	1
Atp5e	0	0.566930423	1	0.958	0	1
Sec61g	0	0.56263847	1	0.965	0	1
Rpl39	0	0.560060312	0.997	0.836	0	1
Rps26	0	0.557890229	0.999	0.955	0	1
Tff3	0	0.552673198	0.979	0.653	0	1
Rps28	0	0.539554241	0.975	0.697	0	1
Rpl34	0	0.525993261	0.999	0.927	0	1
Rpl32	0	0.524348682	1	0.967	0	1
Rpl38	0	0.519968061	0.999	0.908	0	1
Rps29	0	0.519234316	0.965	0.664	0	1
Usmg5	0	0.512156215	0.994	0.812	0	1
Rpl37a	0	0.511675011	0.993	0.822	0	1
Rpl37	0	0.491818568	1	0.997	0	1
Apoc4	0	0.491545794	1	0.999	0	1
Rps17	0	0.478367645	0.927	0.686	0	1
Rps15a	0	0.472057841	0.997	0.874	0	1
Uqcr10	0	0.467042866	0.989	0.797	0	1
Uqcrq	0	0.465816497	1	0.994	0	1
Atp5j2	0	0.464639526	0.999	0.926	0	1
Rpl36	0	0.459269474	1	0.971	0	1
Rpl35	0	0.455412949	1	0.964	0	1
Cox7b	0	0.444869518	0.987	0.812	0	1
Cox6c	0	0.436833484	0.999	0.962	0	1
AY036118	2.27E-186	0.42162285	0.515	0.314	3.24E-182	1
Rpl27	0	0.408243258	0.999	0.953	0	1
Rpl41	0	0.397165556	0.998	0.925	0	1
Rps27l	0	0.391301756	0.997	0.882	0	1
Atp5l	0	0.375446409	0.999	0.947	0	1
Rps13	1.66E-300	0.374515623	0.991	0.871	2.38E-296	1
Cox7a2	0	0.373205741	0.996	0.921	0	1
2010107E04Rik	5.26E-260	0.365582053	0.991	0.839	7.52E-256	1
Rps23	1.26E-306	0.364864499	0.983	0.821	1.80E-302	1
Nme2	0	0.363950728	1	1	0	1
Rps14	0	0.362495596	0.999	0.936	0	1
Ndufa3	1.15E-279	0.357756447	0.971	0.759	1.65E-275	1
Uba52	0	0.356959056	1	1	0	1
Apoa2	0	0.354038886	1	1	0	1
Ndufa2	1.25E-291	0.351438639	0.987	0.855	1.79E-287	1
Uqcr11	0	0.34697476	0.998	0.95	0	1
Uqcrh	9.71E-269	0.345879616	0.997	0.932	1.39E-264	1
Cox7c	0	0.345666432	1	0.978	0	1
Ndufv3	1.38E-228	0.342645247	0.974	0.805	1.97E-224	1
Rps27	9.14E-156	0.339189066	0.585	0.436	1.31E-151	1
Rps12	2.81E-287	0.33908628	0.966	0.764	4.02E-283	1
Polr2l	5.68E-164	0.334861122	0.696	0.561	8.12E-160	1
Ndufc1	1.32E-253	0.33229272	0.992	0.863	1.89E-249	1
Rpl22	3.48E-259	0.33161424	0.994	0.893	4.98E-255	1
Ndufa11	4.13E-235	0.33115403	0.982	0.839	5.90E-231	1
Atox1	0	0.327420501	0.999	0.979	0	1
Ndufb9	5.57E-235	0.326243665	0.996	0.935	7.97E-231	1
mt-Co3	0	0.323002782	1	0.985	0	1
Rps24	0	0.314201714	1	0.996	0	1
Cox6b1	1.25E-262	0.313470471	0.999	0.949	1.78E-258	1
Atp5g1	1.00E-286	0.313268507	1	0.977	1.43E-282	1
Romo1	2.21E-135	0.311595525	0.723	0.603	3.16E-131	1
Ndufb4	5.56E-190	0.310789955	0.969	0.793	7.95E-186	1
Rps5	5.57E-266	0.308611138	0.999	0.957	7.96E-262	1
Ndufa7	1.46E-216	0.307529323	0.998	0.95	2.08E-212	1
Rpl26	6.42E-218	0.306607535	0.997	0.924	9.18E-214	1
Rps20	1.18E-279	0.302501953	1	0.996	1.68E-275	1
Rpl10-ps3	5.05E-209	0.298605806	0.987	0.789	7.22E-205	1
Rpl35a	1.79E-141	0.2983218	0.876	0.751	2.56E-137	1
Rpl22l1	8.99E-194	0.294304345	0.929	0.729	1.29E-189	1
Tomm7	7.38E-96	0.28766449	0.686	0.604	1.06E-91	1
Sec61b	1.90E-260	0.282993484	1	0.983	2.72E-256	1
Tstd1	1.94E-202	0.281176246	1	0.973	2.77E-198	1
Mrpl52	3.01E-183	0.280943202	0.994	0.918	4.31E-179	1
Rplp2	1.36E-212	0.278944527	0.999	0.96	1.94E-208	1
Nop10	1.53E-175	0.276810896	0.928	0.73	2.19E-171	1
mt-Nd3	9.23E-39	0.274469344	0.228	0.176	1.32E-34	1
Rps27a	2.28E-228	0.272652788	1	0.997	3.25E-224	1
Rpl36a	2.62E-173	0.268593723	0.992	0.876	3.74E-169	1
Ttr	0	0.265353155	1	1	0	1
Ubl5	7.49E-129	0.263693533	0.948	0.784	1.07E-124	1
Apoc3	1.58E-234	0.261265196	1	1	2.25E-230	1
Rpl13a	1.25E-165	0.26048777	0.95	0.788	1.78E-161	1
Ndufa1	2.40E-131	0.256096859	0.982	0.842	3.43E-127	1
Rpl31	2.68E-119	0.25367895	0.866	0.724	3.84E-115	1
Gng5	8.54E-177	0.253175849	1	0.987	1.22E-172	1
Cox5b	6.43E-182	0.250090762	0.999	0.972	9.19E-178	1
Dynll1	2.54E-73	0.249526583	0.703	0.626	3.63E-69	1
Ndufb2	8.96E-62	0.24365063	0.726	0.673	1.28E-57	1
Atp5k	1.34E-20	0.239563162	0.439	0.465	1.92E-16	1
Atpif1	5.04E-135	0.238380362	0.912	0.705	7.21E-131	1
Rps11	9.78E-163	0.234729365	0.999	0.974	1.40E-158	1
Rps18	1.26E-120	0.230259991	0.99	0.885	1.81E-116	1
Uqcc2	3.37E-52	0.229034138	0.677	0.622	4.81E-48	1
Atp5h	6.21E-112	0.223579021	0.993	0.902	8.87E-108	1
Rps7	7.56E-158	0.221911829	1	0.994	1.08E-153	1
Apom	4.66E-98	0.220864288	1	0.999	6.66E-94	1
Timm8b	2.31E-47	0.218074718	0.663	0.611	3.30E-43	1
Rps6	2.24E-90	0.208829252	0.987	0.898	3.21E-86	1
Tmem256	4.55E-53	0.208413902	0.753	0.698	6.50E-49	1
Rps16	7.20E-145	0.207828974	1	0.999	1.03E-140	1
Sem1	1.75E-71	0.203409656	0.981	0.871	2.50E-67	1
Urah	1.31E-104	0.202357589	0.987	0.86	1.87E-100	1
S100a10	4.87E-152	0.202228349	0.998	0.879	6.96E-148	1
Gstm3	3.68E-237	1.739640469	0.621	0.418	5.26E-233	2
Gstm1	0	1.409355585	0.991	0.923	0	2
Cyp1a2	4.60E-206	0.81145128	0.546	0.311	6.58E-202	2
Rida	0	0.682305426	1	0.981	0	2
Cbr1	2.99E-252	0.666138521	0.88	0.823	4.27E-248	2
Ftl1	1.32E-247	0.648460845	1	1	1.89E-243	2
Cbr3	8.58E-308	0.646652055	0.267	0.062	1.23E-303	2
Cyp2a5	6.81E-64	0.637861425	0.36	0.245	9.73E-60	2
Mgst1	0	0.637184524	1	0.999	0	2
Mup20	3.26E-218	0.627863996	0.982	0.915	4.66E-214	2
Orm1	0	0.619754171	0.983	0.856	0	2
Gstm2	4.15E-91	0.600368302	0.611	0.475	5.92E-87	2
Nqo1	1.30E-225	0.596378334	0.356	0.15	1.86E-221	2
Bhmt	0	0.582250444	0.941	0.803	0	2
Esd	4.77E-235	0.551916432	0.982	0.972	6.82E-231	2
Ass1	0	0.536436187	1	0.994	0	2
Blvrb	5.64E-147	0.535327447	0.8	0.68	8.06E-143	2
Gsta4	2.19E-279	0.53363865	0.883	0.734	3.13E-275	2
Cat	0	0.527822251	0.949	0.9	0	2
Serpina1e	2.10E-166	0.519507382	1	0.997	3.00E-162	2
Gpx1	3.69E-277	0.494627229	1	0.993	5.27E-273	2
Gstm4	5.96E-191	0.471132868	0.51	0.296	8.52E-187	2
Selenop	0	0.459578878	1	1	0	2
Gsta3	3.26E-220	0.455110743	0.972	0.924	4.67E-216	2
Mup3	5.63E-207	0.444526604	0.855	0.601	8.04E-203	2
Gstt3	0	0.443977723	0.799	0.555	0	2
Gstp1	3.20E-77	0.434685741	1	1	4.57E-73	2
Thrsp	4.15E-137	0.430971748	0.391	0.211	5.93E-133	2
Cyb5r3	2.73E-264	0.424458568	0.948	0.93	3.91E-260	2
Pgrmc1	2.40E-279	0.422871879	0.945	0.901	3.43E-275	2
Phyh	0	0.418995746	0.995	0.98	0	2
Gsta2	0	0.417001473	0.226	0.033	0	2
Fbp1	6.49E-272	0.416012903	0.976	0.92	9.27E-268	2
Gnmt	0	0.411073532	0.997	0.971	0	2
Selenow	8.79E-244	0.399171952	0.88	0.741	1.26E-239	2
Prdx1	1.14E-229	0.395743594	1	1	1.63E-225	2
Mrap	6.32E-233	0.39514043	0.653	0.38	9.03E-229	2
Tdo2	2.26E-215	0.389212369	0.989	0.947	3.23E-211	2
Igf1	6.93E-224	0.38881989	0.824	0.582	9.91E-220	2
Psen2	1.97E-217	0.388672297	0.896	0.813	2.81E-213	2
Gstm6	1.00E-224	0.386235054	0.754	0.564	1.43E-220	2
Scp2	0	0.386189757	1	0.999	0	2
Uox	1.50E-201	0.385891666	0.998	0.986	2.15E-197	2
Gapdh	2.81E-302	0.383965395	1	1	4.01E-298	2
Ly6e	3.29E-258	0.375076252	0.992	0.978	4.70E-254	2
Tuba1c	5.67E-197	0.370704861	0.904	0.858	8.10E-193	2
Lcn2	2.23E-141	0.368512377	0.997	0.959	3.19E-137	2
Fth1	1.53E-290	0.365054795	1	1	2.18E-286	2
Serpina1d	1.58E-286	0.361705418	1	1	2.26E-282	2
Prdx6	1.88E-223	0.360479059	0.991	0.983	2.69E-219	2
Reep6	1.00E-234	0.356896545	0.856	0.665	1.43E-230	2
Cpb2	5.75E-302	0.355461588	0.991	0.963	8.22E-298	2
Cyb5a	0	0.35211415	1	1	0	2
Sult1a1	4.29E-237	0.347811303	0.966	0.918	6.14E-233	2
Sqor	3.12E-216	0.344124174	0.854	0.666	4.46E-212	2
Anp32a	2.95E-190	0.339475355	0.748	0.576	4.21E-186	2
Aldh1l1	2.41E-145	0.337839534	0.714	0.564	3.44E-141	2
Ybx1	4.96E-220	0.335277143	0.963	0.919	7.08E-216	2
Ugp2	3.41E-141	0.328085647	0.898	0.846	4.87E-137	2
