	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	TFs	Tclin
Acsl3	5.01E-69	0.255344334	0.486	0.229	7.16E-65	0	Acsl3	#N/A	#N/A
Slc7a2	2.65E-68	0.314877424	0.697	0.497	3.79E-64	0	Slc7a2	#N/A	#N/A
Fosb	9.13E-68	0.3764257	0.375	0.157	1.30E-63	0	Fosb	FOSB	#N/A
Lpin1	1.37E-67	0.274881471	0.526	0.28	1.96E-63	0	Lpin1	#N/A	#N/A
Apob	1.49E-67	0.265888594	0.972	0.977	2.13E-63	0	Apob	#N/A	#N/A
Ahsg	3.58E-66	0.234087264	1	1	5.12E-62	0	Ahsg	#N/A	#N/A
Atp1b1	6.62E-66	0.227550486	0.43	0.19	9.46E-62	0	Atp1b1	#N/A	ATP1B1
Klf10	3.04E-64	0.265033783	0.282	0.089	4.34E-60	0	Klf10	KLF10	#N/A
Fst	3.78E-63	0.265246324	0.395	0.168	5.41E-59	0	Fst	#N/A	#N/A
Vtn	5.42E-63	0.23219057	0.985	0.972	7.74E-59	0	Vtn	#N/A	#N/A
Alcam	2.99E-62	0.294928923	0.701	0.523	4.27E-58	0	Alcam	#N/A	#N/A
Hsd17b13	1.49E-61	0.299204557	0.817	0.731	2.12E-57	0	Hsd17b13	#N/A	#N/A
Ank3	9.52E-61	0.230127953	0.352	0.144	1.36E-56	0	Ank3	#N/A	#N/A
Abhd2	2.66E-60	0.241095435	0.557	0.305	3.81E-56	0	Abhd2	#N/A	#N/A
Ftcd	2.76E-59	0.213670879	0.449	0.213	3.94E-55	0	Ftcd	#N/A	#N/A
Chka	3.58E-59	0.413027736	0.761	0.668	5.12E-55	0	Chka	#N/A	#N/A
Cxcl1	9.11E-59	0.314535215	0.484	0.249	1.30E-54	0	Cxcl1	#N/A	#N/A
AC149090.1	2.28E-58	0.219140319	0.401	0.182	3.26E-54	0	AC149090.1	#N/A	#N/A
C3	2.54E-58	0.236431114	0.996	0.996	3.64E-54	0	C3	#N/A	#N/A
Hal	3.09E-58	0.302289499	0.629	0.407	4.41E-54	0	Hal	#N/A	#N/A
Scarb1	7.54E-58	0.248843152	0.607	0.375	1.08E-53	0	Scarb1	#N/A	#N/A
Dsg2	2.33E-57	0.238975607	0.575	0.337	3.33E-53	0	Dsg2	#N/A	#N/A
F2	7.09E-57	0.203404026	0.99	0.993	1.01E-52	0	F2	#N/A	F2
Neat1	3.63E-56	0.318627399	0.827	0.835	5.19E-52	0	Neat1	#N/A	#N/A
Efna1	1.52E-55	0.279715675	0.686	0.525	2.17E-51	0	Efna1	#N/A	#N/A
Errfi1	5.28E-55	0.275767361	0.916	0.939	7.54E-51	0	Errfi1	#N/A	#N/A
Mtss1	1.02E-54	0.216483523	0.474	0.243	1.45E-50	0	Mtss1	#N/A	#N/A
Bhlhe40	1.67E-53	0.221897638	0.437	0.215	2.39E-49	0	Bhlhe40	BHLHE40	#N/A
Vegfa	1.44E-52	0.204221016	0.377	0.172	2.06E-48	0	Vegfa	#N/A	VEGFA
Egfr	3.59E-52	0.232650776	0.456	0.243	5.13E-48	0	Egfr	#N/A	EGFR
Retreg1	3.95E-52	0.209694309	0.384	0.18	5.65E-48	0	Retreg1	#N/A	#N/A
Klkb1	4.65E-52	0.200641744	0.39	0.181	6.64E-48	0	Klkb1	#N/A	KLKB1
Zbtb20	5.63E-52	0.230502104	0.48	0.255	8.04E-48	0	Zbtb20	ZBTB20	#N/A
Lrp1	8.00E-52	0.202299104	0.497	0.264	1.14E-47	0	Lrp1	#N/A	#N/A
Ubc	2.03E-51	0.236357801	0.957	0.968	2.90E-47	0	Ubc	#N/A	#N/A
Hmgcr	8.07E-51	0.253601367	0.566	0.352	1.15E-46	0	Hmgcr	#N/A	HMGCR
Proc	1.21E-50	0.201253575	0.53	0.302	1.73E-46	0	Proc	#N/A	#N/A
Txnip	2.01E-49	0.278923467	0.391	0.192	2.87E-45	0	Txnip	#N/A	#N/A
Gdf15	9.49E-48	0.337724364	0.588	0.425	1.36E-43	0	Gdf15	#N/A	#N/A
Irf2bp2	1.07E-47	0.240187662	0.645	0.463	1.53E-43	0	Irf2bp2	#N/A	#N/A
Slc39a14	1.85E-47	0.217561946	0.511	0.306	2.64E-43	0	Slc39a14	#N/A	#N/A
Ier2	2.60E-47	0.311165031	0.653	0.501	3.71E-43	0	Ier2	IER2	#N/A
Atp1a1	5.07E-47	0.254392312	0.617	0.432	7.25E-43	0	Atp1a1	#N/A	ATP1A1
Slc38a2	1.28E-46	0.278687901	0.649	0.489	1.83E-42	0	Slc38a2	#N/A	#N/A
Col18a1	1.54E-45	0.208510617	0.582	0.372	2.19E-41	0	Col18a1	#N/A	#N/A
Hgfac	9.33E-45	0.222812252	0.584	0.38	1.33E-40	0	Hgfac	#N/A	#N/A
C1s1	9.07E-44	0.224192941	0.621	0.442	1.30E-39	0	C1s1	#N/A	#N/A
Ifrd1	1.04E-43	0.201307971	0.373	0.182	1.48E-39	0	Ifrd1	#N/A	#N/A
Itih4	3.71E-43	0.205883005	0.964	0.972	5.30E-39	0	Itih4	#N/A	#N/A
Itih3	7.40E-42	0.233731163	0.901	0.908	1.06E-37	0	Itih3	#N/A	#N/A
Hp	2.61E-41	0.221704051	0.997	0.98	3.73E-37	0	Hp	#N/A	#N/A
Dusp1	3.04E-41	0.208859054	0.282	0.123	4.35E-37	0	Dusp1	#N/A	#N/A
Zfp36l1	8.52E-41	0.269940449	0.781	0.734	1.22E-36	0	Zfp36l1	#N/A	#N/A
F11r	1.20E-40	0.201126974	0.609	0.411	1.71E-36	0	F11r	#N/A	#N/A
Gm42047	9.92E-38	0.210132796	0.212	0.079	1.42E-33	0	Gm42047	#N/A	#N/A
Nid1	1.29E-37	0.20932004	0.697	0.594	1.84E-33	0	Nid1	#N/A	#N/A
Trp53inp1	1.56E-37	0.219501852	0.519	0.338	2.23E-33	0	Trp53inp1	#N/A	#N/A
Hpx	1.23E-36	0.218974348	0.998	0.999	1.75E-32	0	Hpx	#N/A	#N/A
Cfh	2.18E-35	0.212263533	0.856	0.849	3.12E-31	0	Cfh	#N/A	#N/A
Herpud1	4.61E-35	0.213764654	0.656	0.506	6.59E-31	0	Herpud1	#N/A	#N/A
Tm4sf4	8.39E-32	0.269841767	0.771	0.756	1.20E-27	0	Tm4sf4	#N/A	#N/A
Atf3	5.43E-25	0.429301975	0.352	0.234	7.76E-21	0	Atf3	ATF3	#N/A
Tspan8	1.44E-14	0.287280002	0.698	0.782	2.06E-10	0	Tspan8	#N/A	#N/A
Serpina1e	1.20E-11	0.202297376	0.955	0.924	1.72E-07	0	Serpina1e	#N/A	#N/A
Spp1	0.000396725	1.050699784	0.369	0.361	1	0	Spp1	#N/A	#N/A
Gm42418	9.04E-93	0.367499368	1	1	1.29E-88	1	Gm42418	#N/A	#N/A
Gm10076	2.32E-37	0.276824968	1	1	3.31E-33	1	Gm10076	#N/A	#N/A
Apoc1	1.59E-35	0.392902459	1	1	2.28E-31	1	Apoc1	#N/A	#N/A
Rpl38	1.32E-25	0.23178039	1	0.998	1.88E-21	1	Rpl38	#N/A	#N/A
Tmsb4x	6.80E-23	0.518008842	0.428	0.287	9.72E-19	1	Tmsb4x	#N/A	#N/A
Igkc	8.52E-20	0.665547021	0.57	0.449	1.22E-15	1	Igkc	#N/A	#N/A
Rps28	1.10E-17	0.222102703	0.996	0.951	1.58E-13	1	Rps28	#N/A	#N/A
Rpl37a	2.45E-17	0.219324124	1	0.992	3.50E-13	1	Rpl37a	#N/A	#N/A
Rpl41	2.44E-16	0.20211713	1	0.985	3.48E-12	1	Rpl41	#N/A	#N/A
Ndufc1	3.26E-16	0.233241507	0.992	0.901	4.66E-12	1	Ndufc1	#N/A	NDUFC1
Rps24	6.61E-16	0.25822321	0.994	0.966	9.44E-12	1	Rps24	#N/A	#N/A
Apoc3	7.92E-16	0.207601622	1	1	1.13E-11	1	Apoc3	#N/A	#N/A
Cox6c	1.45E-15	0.208644737	0.998	0.977	2.07E-11	1	Cox6c	#N/A	#N/A
Uqcrq	2.13E-15	0.225351257	1	0.985	3.04E-11	1	Uqcrq	#N/A	#N/A
Igha	2.92E-15	0.729299497	0.546	0.452	4.18E-11	1	Igha	#N/A	#N/A
1810037I17Rik	1.71E-14	0.207847195	0.815	0.636	2.45E-10	1	1810037I17Rik	#N/A	#N/A
Fabp1	1.91E-12	0.211557839	0.97	0.812	2.73E-08	1	Fabp1	#N/A	#N/A
Atp5e	1.55E-10	0.202270693	0.992	0.915	2.22E-06	1	Atp5e	#N/A	#N/A
Rpl27	1.56E-10	0.213787054	0.978	0.857	2.23E-06	1	Rpl27	#N/A	#N/A
Tmsb10	2.02E-10	0.257498703	0.493	0.383	2.89E-06	1	Tmsb10	#N/A	#N/A
AY036118	3.62E-10	0.595806543	0.325	0.239	5.17E-06	1	AY036118	#N/A	#N/A
Fabp4	3.73E-10	0.298979138	0.237	0.145	5.33E-06	1	Fabp4	#N/A	#N/A
Uba52	0.000240474	0.210304389	0.99	0.93	1	1	Uba52	#N/A	#N/A
Gstm1	2.79E-134	0.991690448	0.985	0.842	3.99E-130	2	Gstm1	#N/A	#N/A
Apoc31	1.87E-109	0.421542822	1	1	2.67E-105	2	Apoc3	#N/A	#N/A
Gstm3	3.21E-85	0.662478318	0.322	0.099	4.58E-81	2	Gstm3	#N/A	#N/A
Rida	1.42E-71	0.364294077	0.992	0.899	2.03E-67	2	Rida	#N/A	#N/A
Ftl1	2.70E-70	0.399003191	0.999	0.968	3.86E-66	2	Ftl1	#N/A	#N/A
Dbi	3.50E-69	0.271790289	1	0.999	5.00E-65	2	Dbi	#N/A	#N/A
Apoc11	1.96E-65	0.375242313	1	1	2.79E-61	2	Apoc1	#N/A	#N/A
Cbr3	2.41E-54	0.218455062	0.161	0.033	3.45E-50	2	Cbr3	#N/A	#N/A
Mgst1	8.11E-54	0.304692653	0.998	0.958	1.16E-49	2	Mgst1	#N/A	#N/A
Selenop	2.85E-50	0.236875047	1	0.999	4.07E-46	2	Selenop	#N/A	#N/A
Gstp1	4.77E-47	0.308809387	0.999	0.994	6.82E-43	2	Gstp1	#N/A	#N/A
Scd1	2.15E-46	0.337755284	0.986	0.924	3.08E-42	2	Scd1	#N/A	#N/A
Pgrmc1	1.01E-45	0.271064626	0.896	0.736	1.45E-41	2	Pgrmc1	#N/A	#N/A
Gsta1	4.51E-43	0.249598782	0.173	0.05	6.44E-39	2	Gsta1	#N/A	#N/A
Cat	1.37E-41	0.28654494	0.867	0.719	1.96E-37	2	Cat	#N/A	#N/A
Gpx1	6.30E-36	0.240174912	0.978	0.912	9.00E-32	2	Gpx1	#N/A	#N/A
Serpina1c	3.45E-35	0.201871751	1	0.993	4.93E-31	2	Serpina1c	#N/A	#N/A
Apoa2	1.81E-31	0.260597045	1	0.999	2.58E-27	2	Apoa2	#N/A	#N/A
Gclc	4.04E-31	0.353431201	0.794	0.632	5.78E-27	2	Gclc	#N/A	#N/A
Psen2	1.14E-30	0.211464295	0.828	0.658	1.63E-26	2	Psen2	#N/A	#N/A
Bhmt	1.59E-30	0.23381283	0.716	0.54	2.27E-26	2	Bhmt	#N/A	#N/A
Ugp2	2.58E-29	0.270295975	0.988	0.9	3.69E-25	2	Ugp2	#N/A	#N/A
Prdx1	3.68E-28	0.216876058	0.996	0.964	5.26E-24	2	Prdx1	#N/A	#N/A
Mup20	9.54E-28	0.349291206	0.963	0.807	1.36E-23	2	Mup20	#N/A	#N/A
Orm1	5.34E-27	0.216445601	0.75	0.584	7.63E-23	2	Orm1	#N/A	#N/A
Tdo2	4.42E-26	0.226138597	0.92	0.793	6.32E-22	2	Tdo2	#N/A	#N/A
Atp5e1	2.58E-21	0.217065619	0.981	0.902	3.69E-17	2	Atp5e	#N/A	#N/A
Cyb5a	3.36E-20	0.23953552	0.993	0.957	4.80E-16	2	Cyb5a	#N/A	#N/A
Cyp1a2	4.84E-20	0.278784221	0.288	0.175	6.92E-16	2	Cyp1a2	#N/A	#N/A
Ndufc11	9.23E-20	0.205306574	0.968	0.89	1.32E-15	2	Ndufc1	#N/A	NDUFC1
Scp2	4.36E-19	0.202695736	0.992	0.955	6.23E-15	2	Scp2	#N/A	#N/A
Fabp11	2.20E-14	0.292268732	0.925	0.795	3.14E-10	2	Fabp1	#N/A	#N/A
Ttr	3.09E-14	0.205183916	1	1	4.41E-10	2	Ttr	#N/A	TTR
Cyp2a5	1.47E-12	0.358808123	0.214	0.14	2.10E-08	2	Cyp2a5	#N/A	#N/A
Cbr1	9.41E-11	0.258006618	0.366	0.32	1.34E-06	2	Cbr1	#N/A	#N/A
Srxn1	1.31E-10	0.254495082	0.276	0.211	1.87E-06	2	Srxn1	#N/A	#N/A
Cyp2e1	0	1.506372174	0.714	0.044	0	3	Cyp2e1	#N/A	#N/A
Serpina7	1.02E-223	1.06761485	0.623	0.11	1.46E-219	3	Serpina7	#N/A	#N/A
Gulo	2.55E-175	0.72157701	0.69	0.183	3.65E-171	3	Gulo	#N/A	#N/A
Rnase4	5.44E-175	0.805529869	0.589	0.123	7.77E-171	3	Rnase4	#N/A	#N/A
Slco1b2	1.25E-173	1.069958283	0.568	0.117	1.79E-169	3	Slco1b2	#N/A	#N/A
Ang	9.93E-173	0.708258304	0.541	0.1	1.42E-168	3	Ang	#N/A	#N/A
Pon1	1.01E-163	0.527387209	0.46	0.071	1.44E-159	3	Pon1	#N/A	#N/A
Lect2	2.22E-157	0.597061897	0.538	0.112	3.18E-153	3	Lect2	#N/A	#N/A
Rgn	9.16E-121	0.765335118	0.45	0.096	1.31E-116	3	Rgn	#N/A	#N/A
P4hb	1.53E-99	0.611421057	0.996	0.978	2.19E-95	3	P4hb	#N/A	#N/A
Oat	8.16E-94	0.379178167	0.266	0.038	1.17E-89	3	Oat	#N/A	#N/A
Rplp1	1.29E-91	0.566898341	0.989	0.976	1.84E-87	3	Rplp1	#N/A	#N/A
Slc13a3	3.48E-88	0.272967572	0.282	0.047	4.98E-84	3	Slc13a3	#N/A	#N/A
Cyp7a1	9.15E-88	0.337518572	0.166	0.012	1.31E-83	3	Cyp7a1	#N/A	#N/A
Gstm2	1.52E-85	0.325111614	0.392	0.095	2.17E-81	3	Gstm2	#N/A	#N/A
Hamp	1.09E-81	1.615785862	0.409	0.124	1.56E-77	3	Hamp	#N/A	#N/A
Rplp0	1.89E-80	0.552232083	0.887	0.777	2.70E-76	3	Rplp0	#N/A	#N/A
Aqp9	3.96E-80	0.388073391	0.485	0.157	5.66E-76	3	Aqp9	#N/A	#N/A
S100g	1.29E-78	0.357838392	0.132	0.007	1.84E-74	3	S100g	#N/A	#N/A
Serpina6	2.69E-75	0.202747971	0.182	0.02	3.85E-71	3	Serpina6	#N/A	#N/A
Cyp27a1	3.56E-74	0.318784074	0.388	0.108	5.08E-70	3	Cyp27a1	#N/A	#N/A
Srm	7.04E-73	0.266234587	0.323	0.076	1.01E-68	3	Srm	#N/A	#N/A
Serp1	4.28E-71	0.57895191	0.961	0.922	6.11E-67	3	Serp1	#N/A	#N/A
Slc22a1	6.09E-69	0.395239156	0.407	0.129	8.70E-65	3	Slc22a1	#N/A	#N/A
Nupr1	5.09E-68	0.205495711	0.125	0.008	7.28E-64	3	Nupr1	#N/A	#N/A
Clptm1l	1.44E-67	0.372663781	0.533	0.214	2.06E-63	3	Clptm1l	#N/A	#N/A
Sdf2l1	9.35E-67	0.268304891	0.372	0.106	1.34E-62	3	Sdf2l1	#N/A	#N/A
Vcp	2.14E-66	0.432773443	0.889	0.74	3.05E-62	3	Vcp	#N/A	#N/A
Smim14	3.51E-65	0.372087135	0.568	0.239	5.02E-61	3	Smim14	#N/A	#N/A
Chchd10	4.51E-65	0.622808267	0.774	0.553	6.45E-61	3	Chchd10	#N/A	#N/A
Ugt2b34	1.30E-64	0.401848084	0.614	0.277	1.86E-60	3	Ugt2b34	#N/A	#N/A
H13	1.71E-64	0.456020911	0.767	0.471	2.44E-60	3	H13	#N/A	#N/A
Rab3d	1.64E-63	0.26937087	0.374	0.112	2.34E-59	3	Rab3d	#N/A	#N/A
Rpl30	4.17E-63	0.462974716	0.998	0.989	5.95E-59	3	Rpl30	#N/A	#N/A
Cyp1a21	2.49E-62	0.516894606	0.464	0.168	3.56E-58	3	Cyp1a2	#N/A	#N/A
Ces3a	6.23E-62	0.233706562	0.155	0.018	8.90E-58	3	Ces3a	#N/A	#N/A
Rpsa	1.03E-61	0.396104481	0.975	0.952	1.47E-57	3	Rpsa	#N/A	#N/A
Rpl37	1.14E-61	0.475401592	0.988	0.975	1.64E-57	3	Rpl37	#N/A	#N/A
Rps8	3.19E-61	0.45397908	1	0.999	4.56E-57	3	Rps8	#N/A	#N/A
Lonp1	3.24E-61	0.308307213	0.437	0.154	4.63E-57	3	Lonp1	#N/A	#N/A
Ssr3	3.53E-61	0.456275577	0.912	0.836	5.04E-57	3	Ssr3	#N/A	#N/A
Srpr	3.64E-61	0.504609859	0.824	0.639	5.20E-57	3	Srpr	#N/A	#N/A
Paqr9	9.60E-61	0.367671377	0.261	0.06	1.37E-56	3	Paqr9	#N/A	#N/A
Nucb2	1.03E-60	0.314283402	0.376	0.118	1.48E-56	3	Nucb2	#N/A	#N/A
Mettl7b	5.18E-60	0.586627346	0.679	0.396	7.41E-56	3	Mettl7b	#N/A	#N/A
Tmed3	5.67E-60	0.254420265	0.344	0.1	8.11E-56	3	Tmed3	#N/A	#N/A
Cyp2c29	7.48E-60	0.840081025	0.393	0.14	1.07E-55	3	Cyp2c29	#N/A	#N/A
1810058I24Rik	1.47E-59	0.342589719	0.534	0.224	2.10E-55	3	1810058I24Rik	#N/A	#N/A
Selenos	4.28E-59	0.497884976	0.933	0.898	6.11E-55	3	Selenos	#N/A	#N/A
Rps29	1.24E-58	0.470512968	0.982	0.971	1.77E-54	3	Rps29	#N/A	#N/A
Trabd	1.76E-58	0.304379556	0.436	0.157	2.51E-54	3	Trabd	#N/A	#N/A
Rpl18a	2.22E-58	0.511417012	0.954	0.883	3.17E-54	3	Rpl18a	#N/A	#N/A
Ctsl	3.07E-57	0.782078481	0.877	0.834	4.39E-53	3	Ctsl	#N/A	#N/A
Rps20	9.53E-57	0.480630296	0.998	0.979	1.36E-52	3	Rps20	#N/A	#N/A
Eef1b2	1.25E-56	0.445125253	0.912	0.822	1.79E-52	3	Eef1b2	#N/A	#N/A
Por	3.06E-56	0.410413995	0.631	0.326	4.37E-52	3	Por	#N/A	#N/A
Sec61a1	6.97E-56	0.424675709	0.748	0.476	9.97E-52	3	Sec61a1	#N/A	#N/A
Reln	9.32E-56	0.38930938	0.383	0.134	1.33E-51	3	Reln	#N/A	#N/A
Rps21	9.67E-56	0.421017514	0.995	0.973	1.38E-51	3	Rps21	#N/A	#N/A
Rps16	2.25E-55	0.473880661	0.995	0.98	3.22E-51	3	Rps16	#N/A	#N/A
Leap2	7.19E-55	0.467809828	0.407	0.147	1.03E-50	3	Leap2	#N/A	#N/A
Pebp1	1.42E-54	0.353419564	0.633	0.313	2.03E-50	3	Pebp1	#N/A	#N/A
Igfbp11	2.38E-54	0.509018473	0.989	0.993	3.40E-50	3	Igfbp1	#N/A	#N/A
Cpox	4.51E-54	0.225192208	0.305	0.086	6.45E-50	3	Cpox	#N/A	#N/A
Ssr4	5.02E-54	0.448278477	0.69	0.418	7.18E-50	3	Ssr4	#N/A	#N/A
Ssr1	2.01E-53	0.328752483	0.591	0.284	2.88E-49	3	Ssr1	#N/A	#N/A
Aox3	4.97E-53	0.20394827	0.287	0.078	7.10E-49	3	Aox3	#N/A	#N/A
Ubxn4	9.40E-53	0.315821575	0.566	0.259	1.34E-48	3	Ubxn4	#N/A	#N/A
Sec61g	2.12E-52	0.405850935	0.937	0.86	3.03E-48	3	Sec61g	#N/A	#N/A
Tmed9	3.56E-52	0.392622332	0.72	0.447	5.09E-48	3	Tmed9	#N/A	#N/A
Fkbp11	1.57E-51	0.650699006	0.697	0.465	2.25E-47	3	Fkbp11	#N/A	#N/A
Slc39a7	1.94E-51	0.324699551	0.586	0.279	2.78E-47	3	Slc39a7	#N/A	#N/A
Rplp2	2.29E-51	0.405709233	0.995	0.982	3.28E-47	3	Rplp2	#N/A	#N/A
Rpl18	3.08E-51	0.449754847	0.972	0.942	4.40E-47	3	Rpl18	#N/A	#N/A
Rps27l	4.32E-51	0.386705236	0.944	0.896	6.17E-47	3	Rps27l	#N/A	#N/A
Csad	3.32E-50	0.36530028	0.224	0.053	4.75E-46	3	Csad	#N/A	#N/A
Rpl411	7.29E-50	0.343419494	0.996	0.985	1.04E-45	3	Rpl41	#N/A	#N/A
Derl1	1.48E-48	0.345018109	0.575	0.285	2.12E-44	3	Derl1	#N/A	#N/A
Rpl35	2.25E-48	0.414263278	0.966	0.932	3.21E-44	3	Rpl35	#N/A	#N/A
Rabac1	6.30E-48	0.241010646	0.362	0.127	9.00E-44	3	Rabac1	#N/A	#N/A
Rpl13a	1.56E-47	0.412135225	0.778	0.553	2.23E-43	3	Rpl13a	#N/A	#N/A
BC003331	4.35E-47	0.235276014	0.346	0.119	6.22E-43	3	BC003331	#N/A	#N/A
Rpl39	6.05E-47	0.434389505	0.933	0.884	8.65E-43	3	Rpl39	#N/A	#N/A
Atf5	1.15E-46	0.461045755	0.647	0.386	1.65E-42	3	Atf5	ATF5	#N/A
Ift20	1.22E-46	0.32102149	0.49	0.223	1.74E-42	3	Ift20	#N/A	#N/A
Aldh3a2	1.68E-46	0.222713892	0.289	0.088	2.39E-42	3	Aldh3a2	#N/A	#N/A
Sec61b	2.80E-46	0.40175121	0.929	0.87	4.00E-42	3	Sec61b	#N/A	#N/A
Rpl27a	4.06E-46	0.370000722	0.937	0.874	5.81E-42	3	Rpl27a	#N/A	#N/A
Serf2	1.91E-45	0.382677629	0.94	0.908	2.73E-41	3	Serf2	#N/A	#N/A
Dnajc3	7.71E-45	0.482765776	0.81	0.724	1.10E-40	3	Dnajc3	#N/A	#N/A
Surf4	4.09E-44	0.341749294	0.757	0.528	5.85E-40	3	Surf4	#N/A	#N/A
Rpl13	4.13E-44	0.354739411	0.975	0.946	5.91E-40	3	Rpl13	#N/A	#N/A
Rps11	9.81E-44	0.426616088	0.801	0.637	1.40E-39	3	Rps11	#N/A	#N/A
Ufm1	1.41E-43	0.290117774	0.561	0.277	2.01E-39	3	Ufm1	#N/A	#N/A
Dnajb9	1.96E-43	0.327711996	0.519	0.255	2.80E-39	3	Dnajb9	#N/A	#N/A
Rpn2	2.56E-43	0.284346456	0.623	0.332	3.66E-39	3	Rpn2	#N/A	#N/A
Bet1	3.07E-43	0.308582091	0.51	0.245	4.38E-39	3	Bet1	#N/A	#N/A
Eef1a1	3.97E-43	0.322320711	0.995	0.994	5.68E-39	3	Eef1a1	#N/A	#N/A
Gm100761	5.89E-43	0.308948092	1	1	8.42E-39	3	Gm10076	#N/A	#N/A
Srp9	1.26E-42	0.408156354	0.926	0.906	1.81E-38	3	Srp9	#N/A	#N/A
Rpl6	1.86E-42	0.359445626	0.966	0.927	2.66E-38	3	Rpl6	#N/A	#N/A
Sec11c	3.25E-42	0.316189267	0.487	0.23	4.64E-38	3	Sec11c	#N/A	#N/A
