source	term_name	term_id	adjusted_p_value	negative_log10_of_adjusted_p_value	Fold_enrichment	term_size	query_size	intersection_size	effective_domain_size	intersections
GO:MF	structural constituent of ribosome	GO:0003735	3.43E-54	53.46489202	11.02752628	177	790	73	21123	FAU,KXD1,MRPL12,MRPL14,MRPL15,MRPL17,MRPL20,MRPL21,MRPL22,MRPL28,MRPL30,MRPL34,MRPL35,MRPL43,MRPL54,MRPL55,MRPS10,MRPS12,MRPS14,MRPS15,MRPS16,MRPS17,MRPS18A,MRPS18B,MRPS24,MRPS34,MRPS7,NDUFA7,RPL10A,RPL10-PS3,RPL11,RPL13,RPL14,RPL15,RPL18,RPL18A,RPL19,RPL21,RPL24,RPL26,RPL27,RPL28,RPL29,RPL3,RPL31,RPL32,RPL34,RPL36,RPL36AL,RPL6,RPL7,RPL8,RPL9-PS6,RPLP0,RPS10,RPS11,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS24,RPS26,RPS3,RPS3A1,RPS4X,RPS5,RPS6,RPS7,RPSA,UBA52
GO:MF	oxidoreductase activity	GO:0016491	4.01E-32	31.39665446	3.691317033	833	790	115	21123	ACADL,ACADS,ADH5,AKR1A1,AKR1C18,AKR1C20,AKR1C6,AKR7A5,ALDH2,ALDH8A1,ASPDH,BLVRB,CBR1,CCS,COX4I1,COX5A,COX5B,COX7A2,COX7B,COX8A,CYB5A,CYB5R3,CYC1,CYCS,CYP1A2,CYP2A12,CYP2A4,CYP2C68,CYP2C70,CYP2D22,CYP2D26,CYP2D9,DCXR,DHRS1,DHRS4,ETFA,FADS2,FTH1,GAPDH,GFER,GLRX3,GLRX5,GLUD1,GPX1,GPX4,GRHPR,GSTM7,GSTP1,GSTT1,H2-KE6,HAAO,HADH,HAO1,HPD,HSD11B1,HSD17B10,HSD17B12,HSD17B2,HSD3B3,HSD3B7,IDH1,IDH2,IDH3B,LDHA,MDH1,MDH2,MGST1,MGST3,MSRB1,NDUFA10,NDUFA13,NDUFA4,NDUFA7,NDUFB4,NDUFB8,NDUFS2,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NDUFV2,P4HB,PARK7,PCBD1,PDIA3,PDIA6,PGK1,PHYH,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,QDPR,RDH16F2,RDH7,SC5D,SDHB,SDHD,SELENBP1,SELENOW,SOD2,SPR,SQOR,TDO2,TECR,TM7SF2,TXN2,TXNDC17,TXNL1,UOX,UQCRFS1,VKORC1,YWHAQ
GO:MF	structural molecule activity	GO:0005198	1.85E-31	30.73198717	4.224077434	614	790	97	21123	ACTB,ACTG1,ARPC1B,ARPC2,ARPC3,CLDN3,CLTA,CLTB,CMTM8,COPE,CRELD2,FAU,FGA,FGB,FGG,HMGCL,ISCA2,KRT18,KXD1,MRPL12,MRPL14,MRPL15,MRPL17,MRPL20,MRPL21,MRPL22,MRPL28,MRPL30,MRPL34,MRPL35,MRPL43,MRPL54,MRPL55,MRPS10,MRPS12,MRPS14,MRPS15,MRPS16,MRPS17,MRPS18A,MRPS18B,MRPS24,MRPS34,MRPS7,MYL6,NDUFA7,RPL10A,RPL10-PS3,RPL11,RPL13,RPL14,RPL15,RPL18,RPL18A,RPL19,RPL21,RPL24,RPL26,RPL27,RPL28,RPL29,RPL3,RPL31,RPL32,RPL34,RPL36,RPL36AL,RPL6,RPL7,RPL8,RPL9-PS6,RPLP0,RPS10,RPS11,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS24,RPS26,RPS3,RPS3A1,RPS4X,RPS5,RPS6,RPS7,RPSA,SEC13,TUBA1C,TUBB2A,TUBB4B,TUBB5,UBA52,VTN
GO:MF	catalytic activity	GO:0003824	1.37E-17	16.86229028	1.537184882	5914	790	340	21123	AADAC,ABHD5,ACADL,ACADS,ACAT1,ACP1,ACP5,ADH5,ADK,AGPAT2,AGXT,AHCY,AIG1,AK2,AK6,AKR1A1,AKR1C18,AKR1C20,AKR1C6,AKR7A5,ALAD,ALDH2,ALDH8A1,ALDOA,ALDOB,ANG,APRT,ARL1,ASPDH,ASS1,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,ATP6V0E,ATP6V1E1,ATP6V1G1,AURKAIP1,BLVRB,BPHL,CAPNS1,CAR8,CBR1,CCS,CELA1,CERS2,CES2A,CFB,CFI,CLPP,CMBL,COMT,COPS6,COX4I1,COX5A,COX5B,COX7A2,COX7B,COX8A,CPB2,CPN1,CRELD2,CSNK2B,CTSA,CTSH,CTSL,CTSZ,CYB5A,CYB5R3,CYC1,CYCS,CYP1A2,CYP2A12,CYP2A4,CYP2C68,CYP2C70,CYP2D22,CYP2D26,CYP2D9,DCXR,DDAH1,DDT,DGAT2,DHRS1,DHRS4,DYNLRB1,EBP,ECH1,ECHDC2,ECHDC3,ECHS1,ECI1,EEF1A1,EIF3F,EIF3H,ENO1,ERP44,ESD,ETFA,F10,F2,FADS2,FAH,FBP1,FBXO6,FDFT1,FDPS,FH1,FKBP11,FKBP1A,FKBP2,FTH1,GALK1,GAMT,GAPDH,GCHFR,GCLM,GCSH,GFER,GLO1,GLRX3,GLRX5,GLUD1,GLYAT,GNB2,GNG12,GNG5,GNMT,GNPNAT1,GPI1,GPX1,GPX4,GRHPR,GSS,GSTA3,GSTA4,GSTM1,GSTM2,GSTM3,GSTM6,GSTM7,GSTP1,GSTT1,GSTT3,GSTZ1,GTF2B,GUK1,H2-KE6,HAAO,HACD2,HADH,HAGH,HAO1,HGFAC,HINT1,HMGB1,HMGCL,HP,HPD,HSD11B1,HSD17B10,HSD17B12,HSD17B2,HSD3B3,HSD3B7,HSPA8,IAH1,IDH1,IDH2,IDH3B,KHK,LAP3,LDHA,MAP2K2,MASP2,MDH1,MDH2,METTL7B,MGST1,MGST3,MIF,MOCS2,MRPL58,MSRB1,MTHFS,MTHFSL,MYL6,NAXE,NDUFA10,NDUFA13,NDUFA4,NDUFA7,NDUFB4,NDUFB8,NDUFS2,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NIT2,NME2,NT5C,NUDT4,P4HB,PARK7,PCBD1,PDIA3,PDIA6,PEMT,PGAM1,PGK1,PGLS,PGLYRP2,PGM2,PHYH,PLA2G12B,PMPCB,PMVK,PNKD,PNPLA7,POLD4,POLR1D,PON1,PPA1,PPA2,PPIA,PPIB,PPP1CA,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,PROC,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMB8,PSMC2,PSMC4,PSMD7,PTER,QDPR,QPRT,RAB11A,RAB4A,RAC1,RAN,RAP1A,RBX1,RCL1,RDH16F2,RDH7,REXO2,RHEB,RHOA,RHOC,RHOD,RIDA,RNASE4,RNF181,RPS3,SAR1B,SAT1,SC5D,SCP2,SDF2L1,SDHB,SDHD,SEC11A,SEC11C,SELENBP1,SELENOW,SEPHS2,SH3GLB1,SKP1A,SLC27A2,SLPI,SOD2,SPCS1,SPCS2,SPR,SPTSSA,SQOR,SRM,SSU72,STK16,STUB1,SUCLG1,SULT1A1,SUMO2,TALDO1,TDO2,TECR,TM7SF2,TMEM59,TPI1,TRMT112,TST,TSTD1,TUBA1C,TUBB2A,TUBB4B,TUBB5,TUFM,TXN2,TXNDC17,TXNL1,UBE2D3,UBE2F,UBE2I,UBE2L3,UBE2N,UBE2V1,UFC1,UGT1A1,UGT2B36,UGT2B5,UOX,UPB1,UQCRC1,UQCRC2,UQCRFS1,URAH,VKORC1,YWHAQ
GO:MF	oxidoreductase activity, acting on CH-OH group of donors	GO:0016614	2.13E-10	9.672274823	5.135107721	151	790	29	21123	ADH5,AKR1A1,AKR1C18,AKR1C20,AKR1C6,AKR7A5,CBR1,DCXR,DHRS4,GRHPR,H2-KE6,HADH,HAO1,HSD11B1,HSD17B10,HSD17B12,HSD17B2,HSD3B3,HSD3B7,IDH1,IDH2,IDH3B,LDHA,MDH1,MDH2,RDH16F2,RDH7,SPR,VKORC1
GO:MF	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	GO:0016655	3.57E-10	9.447627277	10.43433158	41	790	16	21123	AKR1C18,AKR1C6,CBR1,DCXR,DHRS4,NDUFA10,NDUFA13,NDUFA7,NDUFB4,NDUFB8,NDUFS2,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NDUFV2
GO:MF	threonine-type endopeptidase activity	GO:0004298	9.79E-10	9.009430892	15.27884268	21	790	12	21123	PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMB8
GO:MF	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0016616	1.26E-09	8.900266557	5.156609403	140	790	27	21123	ADH5,AKR1A1,AKR1C18,AKR1C20,AKR1C6,AKR7A5,CBR1,DCXR,DHRS4,GRHPR,H2-KE6,HADH,HSD11B1,HSD17B10,HSD17B12,HSD17B2,HSD3B3,HSD3B7,IDH1,IDH2,IDH3B,LDHA,MDH1,MDH2,RDH16F2,RDH7,SPR
GO:MF	antioxidant activity	GO:0016209	4.00E-09	8.397746199	6.453993889	87	790	21	21123	APOM,CCS,FABP1,GPX1,GPX4,GSTM7,GSTP1,GSTT1,HP,MGST1,MGST3,PARK7,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,SELENOW,SOD2,TXNDC17
GO:MF	enzyme binding	GO:0019899	9.78E-09	8.009689943	1.705967526	2398	790	153	21123	ACAT1,ACTB,ACTG1,ADIPOR1,ADRM1,AK6,ALB,ALDOA,ALDOB,ANXA2,ANXA5,APOA1,ARPC2,ATOX1,ATP6V0C,ATP6V1E1,ATP6V1G1,ATXN10,AUP1,BAG1,C1QBP,CALM1,CCS,CEBPB,CFL1,CHCHD3,CIB1,CLPP,CLTA,CLU,CST3,CSTB,CYB5A,CYCS,CYP1A2,CYP2A4,DDRGK1,DDT,DERL1,DERL2,DNAJC3,EEF1A1,EIF3I,EIF4E2,EIF4EBP1,ELOB,ENO1,FKBP1A,FXYD1,GABARAP,GABARAPL2,GAPDH,GCHFR,GCLM,GCSH,GDI2,GLRX3,GLUD1,GNB2,GPI1,GRPEL1,GSTM1,GSTM2,GSTM7,GSTP1,GTF2B,HACD2,HMGB1,HSP90AB1,HSPA8,IFNAR2,IFT20,ISG15,JTB,LAMTOR1,LAMTOR2,LAMTOR4,LCN2,LDHA,LGALS9,MAD2L2,MAP1LC3B,MAP2K2,MBL2,MIF,NDUFS2,NDUFS7,NEDD8,NME2,NPC2,OAZ1,P4HB,PA2G4,PARK7,PEBP1,PFN1,PGAM1,PHB,PLSCR1,PPIB,PPP1CA,PRDX3,PSMA3,RAB4A,RAC1,RANBP1,RAP1A,RASGRP2,RBX1,RHEB,RHOA,RHOC,RHOD,RPL11,RPS18,RPS19,RPS2,RPS3,RPS6,RPS7,RTRAF,SDF2L1,SEC61B,SERPINA1B,SERPINA1D,SERPINA1E,SERPINC1,SLC22A18,SLC25A5,SLC27A2,SLC9A3R1,SLPI,SNU13,SNX3,SOD2,SQSTM1,STOML2,STUB1,SUMO2,TPI1,TRAPPC1,TUBB5,UBA52,UBB,UBE2I,UBE2L3,UBE2N,UBE2V1,UGT1A1,UQCRC1,XBP1,YBX1,ZNHIT1
GO:MF	identical protein binding	GO:0042802	1.59E-08	7.797256866	1.748396289	2141	790	140	21123	ACADL,ACADS,ACAT1,ACTB,ACTG1,ADH5,ADIPOR1,AES,AGXT,AHCY,ALAD,ALB,ALDH2,ALDOA,ALDOB,AMBP,ANG,ANXA2,ANXA4,ANXA5,APCS,APOA1,APOA2,APOH,ASS1,ATXN10,BRI3,CCT7,CEBPB,CIDEB,CISD1,CLDN3,CLPP,CSNK2B,CST3,DBI,DCXR,DERL1,DGAT2,DHRS4,DYNLRB1,EBP,ECI1,EEF1A1,EIF3F,ENO1,ERG28,ERP29,ESD,FABP5,FBP1,FGG,FIS1,FKBP1A,GAMT,GAPDH,GJB2,GLRX3,GNMT,GNPNAT1,GPX4,GRHPR,GRPEL1,GSS,GSTM1,GSTM2,GSTM3,GSTM7,GSTZ1,HADH,HIST1H2BC,HP,HSBP1,HSD11B1,HSP90AB1,HSPB8,IAH1,IDH1,IFI27L2B,LCN2,LDHA,LECT2,MBL2,MDH2,MGST1,MGST3,MIF,MPC2,MRAP,NAXE,NME2,NR0B2,NT5C,PARK7,PCBD1,PDCD6,PDIA3,PGRMC1,PHB2,PON1,PRDX1,PRDX3,PSMA7,PSMD4,PSMD7,PSME2,QDPR,QPRT,RIDA,RPL7,RPS19,RTRAF,S100A10,S100A11,SAT1,SCP2,SDF4,SEC13,SELENOK,SERPINA1B,SERPINA1D,SERPINA1E,SERPINC1,SH3GLB1,SIGMAR1,SLC31A1,SOD2,SQSTM1,SRM,STUB1,TDO2,TFG,TM6SF2,TPI1,TTR,UGT1A1,UPB1,VAPA,VTN,YWHAQ
GO:MF	threonine-type peptidase activity	GO:0070003	2.71E-08	7.56781235	12.3406037	26	790	12	21123	PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMB8
GO:MF	carboxylic acid binding	GO:0031406	1.13E-07	6.946673662	3.703961861	231	790	32	21123	ADH5,AFP,AGXT,AKR1C18,AKR1C20,AKR1C6,ALB,APOC1,ASS1,C1QBP,DDAH1,FABP1,FABP2,FABP5,GCHFR,GLUD1,GNMT,GRHPR,GSS,GSTM7,GSTP1,HMGCL,HSPA8,MTHFS,MTHFSL,NME2,PHYH,RIDA,SCP2,SH3GLB1,TDO2,UGT1A1
GO:MF	glutathione transferase activity	GO:0004364	1.74E-07	6.759069481	9.655379747	36	790	13	21123	GSTA3,GSTA4,GSTM1,GSTM2,GSTM3,GSTM6,GSTM7,GSTP1,GSTT1,GSTT3,GSTZ1,MGST1,MGST3
GO:MF	rRNA binding	GO:0019843	1.78E-07	6.750736654	6.784262233	67	790	17	21123	MRPL20,MRPS17,MRPS7,RPL11,RPL19,RPL3,RPL6,RPL7,RPL8,RPL9-PS6,RPLP0,RPS11,RPS14,RPS18,RPS3,RPS4X,TST
GO:MF	oxidoreductase activity, acting on NAD(P)H	GO:0016651	3.20E-07	6.495209729	5.772971807	88	790	19	21123	AKR1C18,AKR1C6,CBR1,CYB5R3,DCXR,DHRS4,NDUFA10,NDUFA13,NDUFA7,NDUFB4,NDUFB8,NDUFS2,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NDUFV2,PGK1,TXNDC17
GO:MF	proton transmembrane transporter activity	GO:0015078	3.31E-07	6.480312838	4.943154984	119	790	22	21123	ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0E,ATP6V1E1,ATP6V1F,ATP6V1G1,COX4I1,COX5A,COX5B,COX7A2,COX7B,COX8A,NDUFA4
GO:MF	organic acid binding	GO:0043177	4.19E-07	6.377272682	3.521050164	243	790	32	21123	ADH5,AFP,AGXT,AKR1C18,AKR1C20,AKR1C6,ALB,APOC1,ASS1,C1QBP,DDAH1,FABP1,FABP2,FABP5,GCHFR,GLUD1,GNMT,GRHPR,GSS,GSTM7,GSTP1,HMGCL,HSPA8,MTHFS,MTHFSL,NME2,PHYH,RIDA,SCP2,SH3GLB1,TDO2,UGT1A1
GO:MF	NAD binding	GO:0051287	4.54E-07	6.343405624	6.900122499	62	790	16	21123	AHCY,ALDH2,CYB5R3,GAPDH,GLUD1,GRHPR,H2-KE6,HADH,IDH1,IDH2,IDH3B,LDHA,MDH1,NDUFS2,NDUFV1,QDPR
GO:MF	endopeptidase regulator activity	GO:0061135	6.18E-07	6.208919048	3.646087457	220	790	30	21123	A2ML1,ADRM1,AHSG,AMBP,ANXA2,BST2,CST3,CSTB,FETUB,GAPDH,HRG,KNG1,KNG2,PEBP1,PRDX3,PRDX5,PSME1,PSME2,SERPINA10,SERPINA12,SERPINA1B,SERPINA1D,SERPINA1E,SERPINA3M,SERPINC1,SERPIND1,SERPINF1,SERPING1,SLPI,SPINT2
GO:MF	monocarboxylic acid binding	GO:0033293	1.27555E-06	5.894303502	5.662159345	85	790	18	21123	ADH5,AFP,AKR1C18,AKR1C20,AKR1C6,ALB,APOC1,FABP1,FABP2,FABP5,GSTM7,GSTP1,HSPA8,NME2,RIDA,SCP2,SH3GLB1,UGT1A1
GO:MF	transferase activity, transferring alkyl or aryl (other than methyl) groups	GO:0016765	1.97682E-06	5.704031857	6.291288161	68	790	16	21123	FDFT1,FDPS,GSTA3,GSTA4,GSTM1,GSTM2,GSTM3,GSTM6,GSTM7,GSTP1,GSTT1,GSTT3,GSTZ1,MGST1,MGST3,SRM
GO:MF	peroxiredoxin activity	GO:0051920	2.21194E-06	5.655227392	20.79620253	9	790	7	21123	PARK7,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6
GO:MF	NADH dehydrogenase (quinone) activity	GO:0050136	2.29638E-06	5.638955948	10.1419904	29	790	11	21123	NDUFA10,NDUFA13,NDUFA7,NDUFB4,NDUFB8,NDUFS2,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NDUFV2
GO:MF	NADH dehydrogenase (ubiquinone) activity	GO:0008137	2.29638E-06	5.638955948	10.1419904	29	790	11	21123	NDUFA10,NDUFA13,NDUFA7,NDUFB4,NDUFB8,NDUFS2,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NDUFV2
GO:MF	oxidoreductase activity, acting on peroxide as acceptor	GO:0016684	2.50154E-06	5.601792289	6.684493671	60	790	15	21123	GPX1,GPX4,GSTM7,GSTP1,GSTT1,MGST1,MGST3,PARK7,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,TXNDC17
GO:MF	peptidase regulator activity	GO:0061134	4.10487E-06	5.386701115	3.289195298	252	790	31	21123	A2ML1,ADRM1,AHSG,AMBP,ANXA2,BST2,CST3,CSTB,CTSH,FETUB,GAPDH,HRG,KNG1,KNG2,PEBP1,PRDX3,PRDX5,PSME1,PSME2,SERPINA10,SERPINA12,SERPINA1B,SERPINA1D,SERPINA1E,SERPINA3M,SERPINC1,SERPIND1,SERPINF1,SERPING1,SLPI,SPINT2
GO:MF	enzyme inhibitor activity	GO:0004857	4.26336E-06	5.37024803	2.770774579	386	790	40	21123	1300017J02RIK,A2ML1,AHSG,AMBP,ANGPTL3,ANXA2,APOA1,APOA2,APOC1,BST2,CIB1,CST3,CSTB,DNAJC3,FETUB,GAPDH,GCHFR,HRG,KNG1,KNG2,OAZ1,PEBP1,PRDX3,PRDX5,RNH1,RPL11,RPS7,SERPINA10,SERPINA12,SERPINA1B,SERPINA1D,SERPINA1E,SERPINA3M,SERPINC1,SERPIND1,SERPINF1,SERPING1,SLPI,SPINT2,UGT1A1
GO:MF	fatty acid binding	GO:0005504	4.96769E-06	5.30384558	6.932067511	54	790	14	21123	ADH5,AFP,ALB,APOC1,FABP1,FABP2,FABP5,GSTM7,GSTP1,HSPA8,NME2,RIDA,SCP2,SH3GLB1
GO:MF	ubiquitin-like protein ligase binding	GO:0044389	5.04857E-06	5.296831786	2.94363024	327	790	36	21123	ACTG1,ATP6V0C,AUP1,BAG1,CEBPB,CLU,DDRGK1,DERL1,EIF4E2,ELOB,GABARAP,GABARAPL2,GPI1,HSP90AB1,HSPA8,ISG15,MAP1LC3B,NDUFS2,NEDD8,PA2G4,PSMA3,RBX1,RPL11,SLC22A18,SLC25A5,SQSTM1,STUB1,SUMO2,TPI1,TUBB5,UBA52,UBB,UBE2L3,UBE2N,UQCRC1,XBP1
GO:MF	NADH dehydrogenase activity	GO:0003954	5.24778E-06	5.280024608	9.487668436	31	790	11	21123	NDUFA10,NDUFA13,NDUFA7,NDUFB4,NDUFB8,NDUFS2,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NDUFV2
GO:MF	peroxidase activity	GO:0004601	8.28909E-06	5.081493213	6.684493671	56	790	14	21123	GPX1,GPX4,GSTM7,GSTP1,GSTT1,MGST1,MGST3,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,TXNDC17
GO:MF	endopeptidase inhibitor activity	GO:0004866	1.11955E-05	4.950955257	3.487561915	207	790	27	21123	A2ML1,AHSG,AMBP,ANXA2,BST2,CST3,CSTB,FETUB,GAPDH,HRG,KNG1,KNG2,PEBP1,PRDX3,PRDX5,SERPINA10,SERPINA12,SERPINA1B,SERPINA1D,SERPINA1E,SERPINA3M,SERPINC1,SERPIND1,SERPINF1,SERPING1,SLPI,SPINT2
