gene	avg_logFC	p_val_adj	cluster
Srpr	0.439959992	0	SCT3+0
Serpind1	0.43991568	0	SCT3+0
Fga	0.435123467	0	SCT3+0
Ces2e	0.433065939	0	SCT3+0
Plg	0.427665925	0	SCT3+0
mt-Co1	0.423139013	0	SCT3+0
Vtn	0.416723386	0	SCT3+0
Hsp90ab1	0.412744359	0	SCT3+0
Scarb1	0.412030258	0	SCT3+0
Oaf	0.411603243	0	SCT3+0
Lman1	0.410285859	0	SCT3+0
Slc38a2	0.410252846	0	SCT3+0
Txnip	0.406256314	0	SCT3+0
Fgb	0.404308395	0	SCT3+0
Chka	0.402894738	0	SCT3+0
Col18a1	0.400150183	0	SCT3+0
Cfh	0.397465655	0	SCT3+0
F12	0.396252246	0	SCT3+0
Kng1	0.394712486	0	SCT3+0
Itih1	0.391858741	0	SCT3+0
Hes1	0.389635837	0	SCT3+0
Cyp2d26	0.388405968	0	SCT3+0
1300017J02Rik	0.387406577	0	SCT3+0
Fdps	0.38711638	0	SCT3+0
C4b	0.386780937	0	SCT3+0
Dhcr24	0.381719993	0	SCT3+0
Jund	0.379537788	0	SCT3+0
Tmbim6	0.379041467	0	SCT3+0
Cyp2d10	0.374143584	0	SCT3+0
H2-T23	0.373756752	0	SCT3+0
Tmem176b	0.370839268	0	SCT3+0
Grhpr	0.370504695	0	SCT3+0
Osgin1	0.365828663	0	SCT3+0
Trabd	0.365820788	0	SCT3+0
Tmed9	0.364774729	0	SCT3+0
Sec61a1	0.360041064	0	SCT3+0
Tmem176a	0.349823506	0	SCT3+0
Rpn1	0.344296391	0	SCT3+0
Rgs16	0.342081281	0	SCT3+0
Iqgap2	0.33949527	0	SCT3+0
Cldn3	0.33635149	0	SCT3+0
Apoa5	0.335828598	0	SCT3+0
Klf6	0.334296598	0	SCT3+0
F5	0.333198519	0	SCT3+0
G6pc	0.331767013	0	SCT3+0
Golgb1	0.331222959	0	SCT3+0
Atp1a1	0.330854301	0	SCT3+0
Map2k2	0.330752907	0	SCT3+0
Errfi1	0.328821215	0	SCT3+0
Abcc2	0.327663695	0	SCT3+0
Dusp1	0.327032603	0	SCT3+0
Nid1	0.325592714	0	SCT3+0
Ifngr1	0.325291395	0	SCT3+0
Kng2	0.325240575	0	SCT3+0
Edem2	0.324481811	0	SCT3+0
Srrm2	0.324034765	0	SCT3+0
Egfr	0.321750379	0	SCT3+0
Por	0.321532832	0	SCT3+0
P2rx4	0.320272533	0	SCT3+0
Serpine1	0.319323947	0	SCT3+0
Mvk	0.317282852	0	SCT3+0
Alcam	0.316290578	0	SCT3+0
Son	0.315877328	0	SCT3+0
Tpr	0.314046341	0	SCT3+0
Arpc1b	0.309087042	0	SCT3+0
Nags	0.308852834	0	SCT3+0
Gnb2	0.306644482	0	SCT3+0
Slc25a25	0.306625586	0	SCT3+0
Fst	0.30579319	0	SCT3+0
Saraf	0.305207089	0	SCT3+0
Rbm39	0.300992838	0	SCT3+0
Get4	0.300042085	0	SCT3+0
Hmgcr	0.296823916	0	SCT3+0
Serpinc1	0.290165265	0	SCT3+0
Bhlhe40	0.288168024	0	SCT3+0
Fasn	0.284661932	0	SCT3+0
Os9	0.284285508	0	SCT3+0
Tm9sf2	0.284268687	0	SCT3+0
Lpl	0.28386132	0	SCT3+0
Kif21a	0.282860298	0	SCT3+0
B4galnt1	0.281540206	0	SCT3+0
Tpst2	0.279206792	0	SCT3+0
Scd2	0.278201178	0	SCT3+0
Mtdh	0.277886082	0	SCT3+0
Fermt2	0.277083575	0	SCT3+0
Mst1	0.27534463	0	SCT3+0
Pcsk9	0.274141892	0	SCT3+0
Cd151	0.273857073	0	SCT3+0
Retreg1	0.272348803	0	SCT3+0
Slc22a1	0.271018317	0	SCT3+0
Grn	0.270584139	0	SCT3+0
Gps1	0.270407484	0	SCT3+0
Slc29a1	0.268363523	0	SCT3+0
Yipf3	0.266339446	0	SCT3+0
Tcf25	0.265878497	0	SCT3+0
Ppp1r15a	0.263243259	0	SCT3+0
Gpt2	0.262399023	0	SCT3+0
Eif4g1	0.26089209	0	SCT3+0
Mfge8	0.260300684	0	SCT3+0
Slc13a3	0.258668303	0	SCT3+0
Hnf4a	0.257521979	0	SCT3+0
Tfr2	0.256582451	0	SCT3+0
Stt3a	0.256137209	0	SCT3+0
Lss	0.255493774	0	SCT3+0
Jak1	0.255461362	0	SCT3+0
Trp53inp1	0.254362332	0	SCT3+0
Tor2a	0.254254784	0	SCT3+0
Ccdc47	0.253422545	0	SCT3+0
CAAA01118383.1	0.251257302	0	SCT3+0
Acsl1	0.250681149	0	SCT3+0
Lpin2	0.250626001	0	SCT3+0
Tmem56	0.249226556	0	SCT3+0
Cdk5rap3	0.249149261	0	SCT3+0
Edem1	0.248847468	0	SCT3+0
Wasl	0.247890655	0	SCT3+0
Naxd	0.247730301	0	SCT3+0
C1rl	0.246855319	0	SCT3+0
Ltbr	0.246444637	0	SCT3+0
Tmed5	0.245086902	0	SCT3+0
F7	0.244882293	0	SCT3+0
Emc10	0.244695646	0	SCT3+0
Preb	0.244589088	0	SCT3+0
Dcaf11	0.244471699	0	SCT3+0
Mia3	0.24438003	0	SCT3+0
Dnpep	0.244205308	0	SCT3+0
Mttp	0.242950455	0	SCT3+0
Slc39a7	0.242210495	0	SCT3+0
Il11ra1	0.241013251	0	SCT3+0
Ddx24	0.23979077	0	SCT3+0
Yrdc	0.239737521	0	SCT3+0
Lgmn	0.23951516	0	SCT3+0
Fbxw9	0.238587801	0	SCT3+0
Pqlc1	0.238462933	0	SCT3+0
Habp2	0.238434979	0	SCT3+0
H2-Q7	0.238379589	0	SCT3+0
Epn1	0.238085948	0	SCT3+0
Clptm1l	0.237903414	0	SCT3+0
Sardh	0.234961596	0	SCT3+0
Gpd1	0.234775217	0	SCT3+0
Rbm42	0.234346984	0	SCT3+0
Zfyve21	0.234074686	0	SCT3+0
Acsl3	0.233166439	0	SCT3+0
Itgb1	0.233095507	0	SCT3+0
Dhcr7	0.23276168	0	SCT3+0
Rnf128	0.231994233	0	SCT3+0
Sdc1	0.231732732	0	SCT3+0
Nr2f6	0.231534498	0	SCT3+0
Aplp2	0.230590001	0	SCT3+0
Slc7a2	0.230499209	0	SCT3+0
Lrp1	0.22857379	0	SCT3+0
Kif5c	0.228401078	0	SCT3+0
Dusp6	0.227141425	0	SCT3+0
Rora	0.226771766	0	SCT3+0
Lpcat3	0.22527925	0	SCT3+0
Tmprss6	0.225128696	0	SCT3+0
Enpp2	0.224583624	0	SCT3+0
Tomm40	0.223414688	0	SCT3+0
Acsl4	0.221695031	0	SCT3+0
Sptbn1	0.220727245	0	SCT3+0
Srsf11	0.220042174	0	SCT3+0
Arpc1a	0.219767545	0	SCT3+0
Arfgap2	0.218556164	0	SCT3+0
Sorbs2	0.217216739	0	SCT3+0
Lmna	0.216987866	0	SCT3+0
Lmf1	0.216182652	0	SCT3+0
Slc35b2	0.214794786	0	SCT3+0
Abcd2	0.214661206	0	SCT3+0
Ppt2	0.213690994	0	SCT3+0
Rab3d	0.213351565	0	SCT3+0
Npdc1	0.213139663	0	SCT3+0
Nipal1	0.211857271	0	SCT3+0
Slc35f5	0.21163695	0	SCT3+0
Psmd2	0.210542328	0	SCT3+0
Gcc2	0.210483361	0	SCT3+0
Nr3c1	0.210277917	0	SCT3+0
Bckdha	0.210156032	0	SCT3+0
H6pd	0.208944623	0	SCT3+0
Arf6	0.208088313	0	SCT3+0
Cldn2	0.207081401	0	SCT3+0
Sf3b1	0.205802462	0	SCT3+0
Nucb1	0.20499525	0	SCT3+0
Pex11g	0.204783634	0	SCT3+0
Pcmtd1	0.203851112	0	SCT3+0
Ogfod2	0.203830714	0	SCT3+0
Syngr2	0.202135755	0	SCT3+0
Tm9sf1	0.198020012	0	SCT3+0
Igsf8	0.197654294	0	SCT3+0
Stt3b	0.196602111	0	SCT3+0
Mesd	0.195930459	0	SCT3+0
Slc39a14	0.195681821	0	SCT3+0
Luc7l2	0.194603601	0	SCT3+0
Pkn2	0.188446159	0	SCT3+0
Ddb1	0.186700882	0	SCT3+0
Abca1	0.186266834	0	SCT3+0
Pde4b	0.182094386	0	SCT3+0
Fosb	0.181733783	0	SCT3+0
Hectd1	0.18091546	0	SCT3+0
Akap9	0.170315923	0	SCT3+0
Fndc3b	0.165931966	0	SCT3+0
Ttr	-0.298305228	0	SCT3+0
Rps24	-0.302633651	0	SCT3+0
Uba52	-0.323754491	0	SCT3+0
Cox7c	-0.340372857	0	SCT3+0
Urah	-0.344767098	0	SCT3+0
Ndufa7	-0.354771653	0	SCT3+0
Mpc2	-0.364634147	0	SCT3+0
Wfdc21	-0.365788114	0	SCT3+0
Uqcrh	-0.367008416	0	SCT3+0
Atp5h	-0.371363418	0	SCT3+0
Nme2	-0.373691637	0	SCT3+0
Gpx4	-0.375783299	0	SCT3+0
Orm1	-0.376918606	0	SCT3+0
Ndufa11	-0.382524472	0	SCT3+0
Rpl37	-0.382911486	0	SCT3+0
Ndufb4	-0.385642224	0	SCT3+0
Rps27l	-0.386802856	0	SCT3+0
Ndufa3	-0.388331953	0	SCT3+0
Ndufv3	-0.396670236	0	SCT3+0
Apoa2	-0.397587385	0	SCT3+0
Atp5g1	-0.400599308	0	SCT3+0
Apoc3	-0.400721258	0	SCT3+0
Ndufa2	-0.404588882	0	SCT3+0
2010107E04Rik	-0.404848306	0	SCT3+0
Rpl41	-0.406462471	0	SCT3+0
Rps13	-0.414767987	0	SCT3+0
Rpl27	-0.420011599	0	SCT3+0
Uqcr11	-0.425520902	0	SCT3+0
Ndufc1	-0.425904797	0	SCT3+0
Rps15a	-0.426371626	0	SCT3+0
Cox7a2	-0.42665134	0	SCT3+0
Cox6b1	-0.427561215	0	SCT3+0
Rpl36	-0.428361145	0	SCT3+0
S100a10	-0.429313585	0	SCT3+0
Rpl35	-0.431837842	0	SCT3+0
Atox1	-0.442080486	0	SCT3+0
Rps29	-0.449508371	0	SCT3+0
Atp5l	-0.457697322	0	SCT3+0
Rpl37a	-0.4616005	0	SCT3+0
Rps17	-0.473177963	0	SCT3+0
Rpl34	-0.476015532	0	SCT3+0
Rps28	-0.480873266	0	SCT3+0
Rpl38	-0.489022007	0	SCT3+0
Apoc4	-0.495532707	0	SCT3+0
Rps26	-0.499578189	0	SCT3+0
Uqcrq	-0.506223629	0	SCT3+0
Rps21	-0.510229527	0	SCT3+0
Rpl39	-0.514436452	0	SCT3+0
Cox7b	-0.515467783	0	SCT3+0
Cox6c	-0.523486189	0	SCT3+0
Rpl32	-0.527756443	0	SCT3+0
Sec61g	-0.537506947	0	SCT3+0
Gm10076	-0.549876903	0	SCT3+0
Atp5j2	-0.552977562	0	SCT3+0
Uqcr10	-0.5553913	0	SCT3+0
Tff3	-0.570193461	0	SCT3+0
Usmg5	-0.582341626	0	SCT3+0
Atp5e	-0.702334184	0	SCT3+0
Gstm1	-0.768717944	0	SCT3+0
Apoc1	-0.799332057	0	SCT3+0
Gstm3	-1.052210719	0	SCT3+0
Gm42418	-1.746823942	0	SCT3+0
Fcgrt	0.20849573	8.76E-304	SCT3+0
Rnf187	0.205067073	4.42E-302	SCT3+0
Atp5a1	0.26672218	1.41E-301	SCT3+0
Frmd4b	0.18141401	2.66E-301	SCT3+0
Gckr	0.21324232	3.47E-301	SCT3+0
Cltc	0.204958452	3.96E-301	SCT3+0
Tgoln1	0.185638042	7.18E-301	SCT3+0
Phlda1	0.260866772	1.26E-300	SCT3+0
Dus1l	0.197704409	2.01E-300	SCT3+0
Aebp1	0.16195726	1.05E-299	SCT3+0
Wdr18	0.205453416	1.18E-299	SCT3+0
Svil	0.160174714	2.09E-299	SCT3+0
Mtss1	0.192261859	3.17E-299	SCT3+0
Atp2a2	0.165806195	3.26E-299	SCT3+0
Top1	0.206150914	4.48E-298	SCT3+0
Fth1	-0.295304027	1.47E-297	SCT3+0
Wbp1	0.197331259	7.88E-297	SCT3+0
Tstd1	-0.328559983	1.90E-296	SCT3+0
Srrm1	0.199419242	2.10E-296	SCT3+0
Csnk1a1	0.195338199	6.49E-296	SCT3+0
Gmppb	0.208666046	8.66E-296	SCT3+0
Spcs2	0.278392908	3.18E-295	SCT3+0
Serinc1	0.201452751	3.79E-295	SCT3+0
Slc46a1	0.197444735	1.19E-294	SCT3+0
Aldh4a1	0.195295382	1.71E-294	SCT3+0
Lpin1	0.172615365	2.70E-294	SCT3+0
Anpep	0.175969101	3.20E-294	SCT3+0
Atpif1	-0.359789348	3.47E-294	SCT3+0
Chid1	0.202317429	5.56E-294	SCT3+0
Tmed3	0.251725288	1.01E-293	SCT3+0
Cpq	0.217217712	1.82E-293	SCT3+0
Tbc1d15	0.203543123	3.22E-293	SCT3+0
Ifrd2	0.197793128	4.80E-293	SCT3+0
Tmem214	0.178246036	8.71E-293	SCT3+0
Coq2	0.195430372	9.75E-293	SCT3+0
Ndufa4	-0.281285712	2.40E-292	SCT3+0
Plpp2	0.205871718	2.89E-292	SCT3+0
Cyp27a1	0.22171698	4.60E-292	SCT3+0
Slc25a39	0.249584049	4.85E-292	SCT3+0
Ddost	0.335289256	5.88E-292	SCT3+0
B230219D22Rik	0.177779601	1.10E-291	SCT3+0
Txndc5	0.287284964	6.96E-291	SCT3+0
Mug2	0.36251302	9.40E-291	SCT3+0
Cpn2	0.177680904	1.13E-290	SCT3+0
Pafah1b1	0.202959341	7.51E-290	SCT3+0
Cox5b	-0.314379825	2.49E-288	SCT3+0
Cdkn2b	0.235989916	9.68E-288	SCT3+0
Retreg2	0.188800836	9.89E-288	SCT3+0
Tm9sf3	0.206448827	1.44E-287	SCT3+0
Cyr61	0.228779791	3.65E-287	SCT3+0
Nars	0.226700097	5.23E-287	SCT3+0
Apof	0.321464516	1.42E-286	SCT3+0
Igfbp2	0.531513769	5.13E-286	SCT3+0
Mgat2	0.197318547	5.25E-286	SCT3+0
Eif4g2	0.226507218	5.52E-285	SCT3+0
Srebf1	0.168149318	2.70E-284	SCT3+0
Cebpa	0.177097556	6.03E-284	SCT3+0
Snap47	0.196461032	6.88E-284	SCT3+0
Exosc5	0.194190277	2.77E-283	SCT3+0
Rps14	-0.323745634	1.52E-282	SCT3+0
Ddx56	0.177799116	3.40E-282	SCT3+0
Itih3	0.367119709	1.75E-280	SCT3+0
Tomm70a	0.197005594	2.24E-280	SCT3+0
Adipor2	0.193496859	4.75E-280	SCT3+0
C1ra	0.220743367	6.74E-280	SCT3+0
Coasy	0.187052319	5.89E-279	SCT3+0
Hnrnpu	0.211908653	8.82E-279	SCT3+0
Agpat3	0.186041068	1.75E-278	SCT3+0
Pgp	0.235340935	4.44E-277	SCT3+0
Pex14	0.182683241	6.10E-277	SCT3+0
Lmbrd1	0.183554148	7.64E-277	SCT3+0
Egln2	0.179273703	8.29E-277	SCT3+0
Itm2b	0.244962065	9.86E-277	SCT3+0
Pqlc2	0.221875872	1.69E-276	SCT3+0
Ece1	0.158231153	1.03E-275	SCT3+0
Hrg	0.351130731	1.98E-275	SCT3+0
Slc33a1	0.173386385	3.05E-275	SCT3+0
Ambp	0.265543242	4.37E-275	SCT3+0
Wwp1	0.183659447	1.91E-274	SCT3+0
Nfil3	0.208044324	1.14E-273	SCT3+0
Ivd	0.194058175	1.17E-273	SCT3+0
Mvd	0.239290401	4.54E-273	SCT3+0
Wdr1	0.186852455	7.04E-273	SCT3+0
Copa	0.171542084	1.09E-272	SCT3+0
Amfr	0.172261966	3.58E-272	SCT3+0
Copb2	0.193196711	5.82E-271	SCT3+0
Wbp1l	0.160895378	6.21E-271	SCT3+0
2810459M11Rik	0.173792556	2.28E-269	SCT3+0
Rab24	0.204004569	2.43E-269	SCT3+0
Hilpda	0.266719878	5.68E-269	SCT3+0
Eif4ebp2	0.159547509	1.90E-268	SCT3+0
Cldn1	0.199989012	2.06E-268	SCT3+0
Pepd	0.241431343	2.76E-268	SCT3+0
Atf4	0.185291061	5.78E-268	SCT3+0
Pgm3	0.186635595	6.52E-268	SCT3+0
Rab6a	0.188764555	6.81E-268	SCT3+0
Desi2	0.178349712	1.38E-267	SCT3+0
Cldn14	0.190218896	1.38E-266	SCT3+0
Mob3b	0.180577824	2.00E-266	SCT3+0
Poldip2	0.208695036	2.17E-266	SCT3+0
Ptp4a1	0.200283687	6.96E-266	SCT3+0
Psmd3	0.176074568	3.78E-265	SCT3+0
C2	0.1813063	4.47E-265	SCT3+0
Prpf40a	0.178120463	5.67E-265	SCT3+0
Cops7a	0.218238236	2.74E-264	SCT3+0
Myh9	0.159271404	3.77E-264	SCT3+0
Srsf5	0.181794759	1.72E-263	SCT3+0
Mpg	0.177006726	3.67E-263	SCT3+0
Smap1	0.209859662	8.96E-263	SCT3+0
Mlec	0.185893092	9.60E-263	SCT3+0
Gpr146	0.177318504	1.01E-262	SCT3+0
Rpsa	0.316175955	1.22E-262	SCT3+0
Stard4	0.176433808	1.63E-262	SCT3+0
Nr1h3	0.202074906	5.10E-262	SCT3+0
Srsf2	0.184759349	1.56E-261	SCT3+0
Sdha	0.187064388	2.74E-261	SCT3+0
Psap	0.291506138	6.13E-261	SCT3+0
Ptprk	0.157215328	6.48E-261	SCT3+0
Dsg2	0.156067881	2.31E-260	SCT3+0
Ppp4c	0.184535313	2.96E-260	SCT3+0
Clptm1	0.169441571	7.00E-260	SCT3+0
Dbi	-0.268703768	1.08E-259	SCT3+0
Ddx39b	0.187050021	1.17E-259	SCT3+0
Scaf11	0.16779765	1.41E-259	SCT3+0
Aspscr1	0.172112673	1.70E-259	SCT3+0
Chmp6	0.21925311	6.19E-259	SCT3+0
G3bp2	0.179763378	4.69E-258	SCT3+0
Rps23	-0.328807657	1.13E-257	SCT3+0
Larp4	0.146826458	2.22E-257	SCT3+0
Isyna1	0.200407844	6.91E-257	SCT3+0
Cda	0.186830594	3.71E-256	SCT3+0
Ctsd	0.304628584	3.80E-256	SCT3+0
Ganab	0.14858742	7.06E-256	SCT3+0
Cd82	0.1777456	9.41E-256	SCT3+0
Cebpb	0.360269016	1.28E-255	SCT3+0
Klf15	0.176604291	1.32E-255	SCT3+0
Mlf2	0.23979379	1.37E-255	SCT3+0
Btg2	0.324712273	1.92E-255	SCT3+0
Pex16	0.207376848	2.29E-255	SCT3+0
Hadhb	0.19251136	8.52E-255	SCT3+0
Cyc1	0.245350761	1.10E-254	SCT3+0
Etnk1	0.153176712	1.88E-254	SCT3+0
Abhd2	0.174224163	2.27E-254	SCT3+0
Polr2l	-0.387217165	2.69E-254	SCT3+0
Rhob	0.17431671	1.24E-253	SCT3+0
Tm7sf3	0.180751335	1.53E-253	SCT3+0
Man2a1	0.147418755	3.34E-253	SCT3+0
Phb2	0.253104707	3.76E-253	SCT3+0
App	0.181494131	4.51E-253	SCT3+0
Imp3	0.203752889	7.04E-253	SCT3+0
Ybx1	-0.342198187	9.89E-253	SCT3+0
Ube2r2	0.180015273	1.53E-252	SCT3+0
Mul1	0.169049864	1.72E-252	SCT3+0
Serpina3m	0.292967256	1.88E-252	SCT3+0
Rpl22	-0.318826318	8.66E-252	SCT3+0
Tkfc	0.22755576	1.08E-251	SCT3+0
Trip11	0.147315321	1.12E-251	SCT3+0
Eif3a	0.182833805	2.10E-251	SCT3+0
Mcrip1	0.188557149	2.43E-251	SCT3+0
Elovl1	0.17921661	2.53E-251	SCT3+0
Creb3	0.169495101	2.72E-251	SCT3+0
Copb1	0.178575287	8.22E-251	SCT3+0
Degs1	0.236100875	2.22E-250	SCT3+0
Id1	0.269896848	3.14E-250	SCT3+0
Gpld1	0.172673617	3.56E-250	SCT3+0
Tob1	0.165278914	5.16E-250	SCT3+0
Akr1b3	0.205240369	5.62E-250	SCT3+0
Sec31a	0.158359415	5.73E-250	SCT3+0
Ilvbl	0.148274124	5.77E-250	SCT3+0
Rpl26	-0.320364118	9.53E-250	SCT3+0
Tmem55b	0.166738096	3.20E-249	SCT3+0
Ggnbp2	0.173187336	4.20E-249	SCT3+0
Psmd1	0.182817804	5.34E-249	SCT3+0
Pla1a	0.177740104	7.01E-249	SCT3+0
Minpp1	0.159993818	1.08E-248	SCT3+0
Uqcrb	-0.262219361	2.89E-248	SCT3+0
Sptan1	0.136537711	3.08E-248	SCT3+0
Ces2g	0.18255071	3.95E-248	SCT3+0
Plpp3	0.155941344	5.01E-248	SCT3+0
Gldn	0.148490442	6.40E-248	SCT3+0
Aldh2	0.293430148	2.30E-247	SCT3+0
Actn4	0.156232324	7.03E-247	SCT3+0
Tex264	0.2012653	8.29E-247	SCT3+0
Arcn1	0.186310729	8.62E-247	SCT3+0
Tmed7	0.19827613	1.33E-246	SCT3+0
Dbndd2	0.1781976	1.51E-246	SCT3+0
St3gal1	0.177387147	1.71E-246	SCT3+0
Arid5b	0.143598906	2.30E-246	SCT3+0
Meg3	0.142441209	4.02E-246	SCT3+0
Cpn1	0.272079309	4.31E-246	SCT3+0
Nfe2l2	0.202795689	7.76E-246	SCT3+0
Aifm1	0.178615829	9.92E-246	SCT3+0
St6gal1	0.15108984	2.38E-245	SCT3+0
Rplp2	-0.286321315	2.68E-245	SCT3+0
Eef2	0.389596167	7.68E-245	SCT3+0
Anxa6	0.176945942	7.81E-245	SCT3+0
Phax	0.167934425	8.32E-245	SCT3+0
Gna11	0.15978206	1.40E-244	SCT3+0
Dnajb9	0.188283832	3.81E-244	SCT3+0
Hdlbp	0.328184576	6.19E-244	SCT3+0
Maged1	0.174355681	6.63E-244	SCT3+0
Sel1l	0.144147268	7.11E-244	SCT3+0
Amdhd2	0.171312834	7.80E-244	SCT3+0
Cxadr	0.265636518	1.27E-243	SCT3+0
Tm4sf4	0.446082868	3.13E-243	SCT3+0
Ctnnb1	0.165158842	5.49E-243	SCT3+0
Fibp	0.167207196	7.05E-243	SCT3+0
Aph1a	0.166023296	1.19E-242	SCT3+0
Cct2	0.182554027	1.26E-242	SCT3+0
5330417C22Rik	0.155298916	2.48E-242	SCT3+0
Gc	0.275034119	3.59E-242	SCT3+0
Cdh1	0.139035338	5.03E-242	SCT3+0
AC149090.1	0.131962801	5.09E-242	SCT3+0
Fam20a	0.147868483	1.31E-241	SCT3+0
Tst	0.271067872	1.54E-241	SCT3+0
Acbd5	0.174518583	1.99E-241	SCT3+0
Rnf186	0.169853786	6.64E-241	SCT3+0
Slc2a2	0.207587336	1.51E-240	SCT3+0
Nectin2	0.163564821	7.26E-240	SCT3+0
Lpgat1	0.160363505	8.12E-240	SCT3+0
Faf2	0.157205174	9.41E-240	SCT3+0
Uba5	0.220748366	2.17E-239	SCT3+0
Calu	0.161313445	6.53E-239	SCT3+0
Phgdh	0.147795323	1.04E-238	SCT3+0
Plpp5	0.224788961	2.36E-238	SCT3+0
Agmat	0.17728842	2.54E-238	SCT3+0
Immt	0.175269873	2.82E-238	SCT3+0
Ubxn6	0.171009396	4.45E-238	SCT3+0
Gale	0.205356165	4.79E-238	SCT3+0
Prpsap1	0.167235018	6.46E-238	SCT3+0
Mid1ip1	0.23192664	6.70E-238	SCT3+0
Xrn2	0.165869888	1.01E-237	SCT3+0
Caprin1	0.156473599	1.55E-237	SCT3+0
Phf3	0.15132185	1.61E-237	SCT3+0
Gltpd2	0.181033167	3.79E-237	SCT3+0
Bri3bp	0.169295296	8.63E-237	SCT3+0
Slc6a6	0.139102811	9.08E-237	SCT3+0
Nr0b2	0.319062005	1.08E-236	SCT3+0
Coq8b	0.165409306	1.13E-236	SCT3+0
Nktr	0.134426772	3.16E-236	SCT3+0
Tubb6	0.189480813	3.89E-236	SCT3+0
Csde1	0.155352538	3.97E-236	SCT3+0
Zfand5	0.218466184	5.02E-236	SCT3+0
Ube3a	0.143575351	6.68E-236	SCT3+0
Klf9	0.139835385	9.11E-236	SCT3+0
Rbm25	0.158209966	1.01E-235	SCT3+0
Nudt18	0.165928397	1.33E-235	SCT3+0
Pak2	0.156772007	1.47E-235	SCT3+0
Sil1	0.166386937	1.48E-235	SCT3+0
mt-Atp6	0.336974267	2.15E-235	SCT3+0
Snd1	0.148228898	2.49E-235	SCT3+0
Txnrd2	0.160286161	3.26E-235	SCT3+0
Plbd2	0.162400365	3.63E-235	SCT3+0
Abcf1	0.162973529	5.79E-235	SCT3+0
Trib1	0.1363281	5.87E-235	SCT3+0
Ldlr	0.133364787	6.83E-235	SCT3+0
Epas1	0.132568577	7.71E-235	SCT3+0
Gdf15	0.662386662	1.04E-234	SCT3+0
Ppp2r1a	0.159151227	2.11E-234	SCT3+0
Dhrs7	0.160563509	2.63E-234	SCT3+0
Acly	0.227039639	2.72E-234	SCT3+0
Slc38a10	0.135672298	3.13E-234	SCT3+0
Slc35b1	0.315057784	3.92E-234	SCT3+0
Plk3	0.178781996	5.10E-234	SCT3+0
Slco1b2	0.369331096	6.19E-234	SCT3+0
Pon2	0.192925567	8.93E-234	SCT3+0
Lypla2	0.168760017	2.03E-233	SCT3+0
Ceacam1	0.161802029	3.40E-233	SCT3+0
M6pr	0.180326012	7.35E-233	SCT3+0
Ssr1	0.174267946	2.15E-232	SCT3+0
Dnajc22	0.168133112	6.08E-232	SCT3+0
Cope	0.281338541	1.73E-231	SCT3+0
Hspa13	0.1535197	1.85E-231	SCT3+0
Dnajc25	0.160193557	1.85E-231	SCT3+0
