source	term_name	adjusted_p_value	intersection_size	Module	Print
GO:BP	apoptotic signaling pathway	1.29E-13	247	5	Y
GO:BP	mitotic cell cycle process	1.72E-10	261	5	N
GO:BP	regulation of RNA splicing	2.8E-06	75	5	Y
GO:BP	DNA replication	0.00029406	102	5	N
GO:BP	cell division	0.000373079	207	5	N
GO:BP	cell cycle checkpoint signaling	0.0007624	68	5	N
GO:BP	energy derivation by oxidation of organic compounds	0.411345624	107	5	N
GO:BP	negative regulation of cell death	0.651860442	344	5	N
GO:BP	cell migration	1	336	5	N
GO:BP	Wnt signaling pathway	1	105	5	N
GO:BP	response to growth factor	1	174	5	N
GO:BP	regulation of cell morphogenesis	1	94	5	N
GO:BP	canonical Wnt signaling pathway	1	70	5	N
GO:BP	epithelial cell differentiation	1	151	5	N
GO:BP	regulation of cell population proliferation	1	397	5	N
GO:BP	oxidative phosphorylation	1	33	5	N
GO:BP	ATP metabolic process	1	87	5	N
GO:BP	detoxification	1	25	5	N
GO:BP	reactive oxygen species metabolic process	1	59	5	N
GO:BP	cell cycle G2/M phase transition	1	50	5	N
GO:BP	positive regulation of angiogenesis	1	35	5	N
GO:BP	cell-cell adhesion	1	148	5	N
GO:BP	regulation of protein stability	0.161026039	57	1	N
GO:BP	DNA repair	0.119577268	87	1	N
GO:BP	autophagy	1.71E-09	103	1	N
GO:BP	apoptotic signaling pathway	0.239141484	100	1	N
GO:BP	mitotic cell cycle process	0.000135542	125	1	N
GO:BP	regulation of RNA splicing	1	32	1	N
GO:BP	DNA replication	1	40	1	N
GO:BP	cell division	0.00738418	105	1	N
GO:BP	cell cycle checkpoint signaling	1	30	1	N
GO:BP	energy derivation by oxidation of organic compounds	1	33	1	N
GO:BP	negative regulation of cell death	0.125686607	174	1	N
GO:BP	cell migration	7.76E-20	303	1	N
GO:BP	Wnt signaling pathway	2.6E-16	115	1	Y
GO:BP	response to growth factor	1.38E-15	164	1	Y
GO:BP	regulation of cell morphogenesis	4.31E-13	92	1	Y
GO:BP	canonical Wnt signaling pathway	9.56E-12	83	1	Y
GO:BP	epithelial cell differentiation	3.76E-09	139	1	Y
GO:BP	regulation of cell population proliferation	2.55E-06	287	1	N
GO:BP	oxidative phosphorylation	1	4	1	N
GO:BP	ATP metabolic process	1	28	1	N
GO:BP	detoxification	1	10	1	N
GO:BP	reactive oxygen species metabolic process	1	33	1	N
GO:BP	cell cycle G2/M phase transition	1	23	1	N
GO:BP	positive regulation of angiogenesis	1	33	1	N
GO:BP	cell-cell adhesion	1	122	1	N
