ID	human_organism	human_gene	mouse_organism	mouse_gene
125	human	GALK1	"mouse, laboratory"	Galk1
126	human	GALT	"mouse, laboratory"	Galt
129	human	GBE1	"mouse, laboratory"	Gbe1
130	human	GCDH	"mouse, laboratory"	Gcdh
131	human	GCGR	"mouse, laboratory"	Gcgr
132	human	GCH1	"mouse, laboratory"	Gch1
134	human	GHR	"mouse, laboratory"	Ghr
136	human	GJA1	"mouse, laboratory"	Gja1
137	human	GJB1	"mouse, laboratory"	Gjb1
139	human	GLI3	"mouse, laboratory"	Gli3
141	human	GLDC	"mouse, laboratory"	Gldc
142	human	GLRA3	"mouse, laboratory"	Glra3
143	human	GP1BA	"mouse, laboratory"	Gp1ba
144	human	GP9	"mouse, laboratory"	Gp9
145	human	GPI	"mouse, laboratory"	Gpi1
147	human	GSN	"mouse, laboratory"	Gsn
148	human	GSS	"mouse, laboratory"	Gss
149	human	MSH6	"mouse, laboratory"	Msh6
152	human	HADHA	"mouse, laboratory"	Hadha
153	human	HADHB	"mouse, laboratory"	Hadhb
156	human	HGD	"mouse, laboratory"	Hgd
158	human	HMBS	"mouse, laboratory"	Hmbs
159	human	HMGCL	"mouse, laboratory"	Hmgcl
160	human	TBX5	"mouse, laboratory"	Tbx5
163	human	HPS1	"mouse, laboratory"	Hps1
167	human	SGSH	"mouse, laboratory"	Sgsh
168	human	ICAM1	"mouse, laboratory"	Icam1
169	human	IDS	"mouse, laboratory"	Ids
170	human	IDUA	"mouse, laboratory"	Idua
171	human	CFI	"mouse, laboratory"	Cfi
172	human	IL2RG	"mouse, laboratory"	Il2rg
173	human	INS	"mouse, laboratory"	Ins2
175	human	PDX1	"mouse, laboratory"	Pdx1
179	human	ITGB4	"mouse, laboratory"	Itgb4
180	human	JAG1	"mouse, laboratory"	Jag1
181	human	JAK3	"mouse, laboratory"	Jak3
183	human	KCNA1	"mouse, laboratory"	Kcna1
185	human	KCNE1B	"mouse, laboratory"	Kcne1
187	human	KIT	"mouse, laboratory"	Kit
188	human	KRT12	"mouse, laboratory"	Krt12
191	human	LAMB3	"mouse, laboratory"	Lamb3
193	human	LEP	"mouse, laboratory"	Lep
194	human	SGCG	"mouse, laboratory"	Sgcg
195	human	SGCB	"mouse, laboratory"	Sgcb
197	human	LIG1	"mouse, laboratory"	Lig1
199	human	LIPC	"mouse, laboratory"	Lipc
200	human	LPL	"mouse, laboratory"	Lpl
201	human	KCNH2	"mouse, laboratory"	Kcnh2
203	human	MAOA	"mouse, laboratory"	Maoa
206	human	MET	"mouse, laboratory"	Met
207	human	CIITA	"mouse, laboratory"	Ciita
208	human	MLH1	"mouse, laboratory"	Mlh1
210	human	MSH2	"mouse, laboratory"	Msh2
212	human	MTTP	"mouse, laboratory"	Mttp
215	human	MYBPC3	"mouse, laboratory"	Mybpc3
219	human	MYO7A	"mouse, laboratory"	Myo7a
220	human	MYOC	"mouse, laboratory"	Myoc
221	human	NAGA	"mouse, laboratory"	Naga
222	human	NAGLU	"mouse, laboratory"	Naglu
223	human	PTCH1	"mouse, laboratory"	Ptch1
225	human	NDP	"mouse, laboratory"	Ndp
226	human	NF1	"mouse, laboratory"	Nf1
227	human	PNP	"mouse, laboratory"	Pnp2
228	human	NPC1	"mouse, laboratory"	Npc1
229	human	NPHP1	"mouse, laboratory"	Nphp1
230	human	GPR143	"mouse, laboratory"	Gpr143
231	human	OAT	"mouse, laboratory"	Oat
233	human	OCRL	"mouse, laboratory"	Ocrl
234	human	PAH	"mouse, laboratory"	Pah
236	human	PCCA	"mouse, laboratory"	Pcca
237	human	PDE6B	"mouse, laboratory"	Pde6b
239	human	PEPD	"mouse, laboratory"	Pepd
240	human	PEX12	"mouse, laboratory"	Pex12
242	human	PEX7	"mouse, laboratory"	Pex7
246	human	PHKA2	"mouse, laboratory"	Phka2
247	human	PHKB	"mouse, laboratory"	Phkb
250	human	PKD1	"mouse, laboratory"	Pkd1
253	human	PKP1	"mouse, laboratory"	Pkp1
256	human	PLOD1	"mouse, laboratory"	Plod1
257	human	PMM2	"mouse, laboratory"	Pmm2
259	human	POU1F1	"mouse, laboratory"	Pou1f1
260	human	POU3F4	"mouse, laboratory"	Pou3f4
262	human	PPOX	"mouse, laboratory"	Ppox
264	human	PROS1	"mouse, laboratory"	Pros1
265	human	PTEN	"mouse, laboratory"	Pten
266	human	PTH	"mouse, laboratory"	Pth
267	human	PTH1R	"mouse, laboratory"	Pth1r
268	human	PTS	"mouse, laboratory"	Pts
269	human	PEX2	"mouse, laboratory"	Pex2
270	human	PEX5	"mouse, laboratory"	Pex5
271	human	QDPR	"mouse, laboratory"	Qdpr
272	human	RB1	"mouse, laboratory"	Rb1
273	human	PRPH2	"mouse, laboratory"	Prph2
276	human	ROM1	"mouse, laboratory"	Rom1
279	human	RS1	"mouse, laboratory"	Rs1
281	human	ATXN1	"mouse, laboratory"	Atxn1
283	human	SCN4A	"mouse, laboratory"	Scn4a
285	human	SGCD	"mouse, laboratory"	Sgcd
286	human	SLC12A1	"mouse, laboratory"	Slc12a1
287	human	SLC12A3	"mouse, laboratory"	Slc12a3
292	human	SMN2	"mouse, laboratory"	Smn1
293	human	SNCA	"mouse, laboratory"	Snca
294	human	SOX9	"mouse, laboratory"	Sox9
295	human	SPTB	"mouse, laboratory"	Sptb
297	human	STAR	"mouse, laboratory"	Star
298	human	ABCA4	"mouse, laboratory"	Abca4
303	human	TCN2	"mouse, laboratory"	Tcn2
306	human	TGM1	"mouse, laboratory"	Tgm1
307	human	TH	"mouse, laboratory"	Th
308	human	THBD	"mouse, laboratory"	Thbd
309	human	TNNI3	"mouse, laboratory"	Tnni3
313	human	TPMT	"mouse, laboratory"	Tpmt
314	human	TSC1	"mouse, laboratory"	Tsc1
315	human	TSHR	"mouse, laboratory"	Tshr
317	human	TTR	"mouse, laboratory"	Ttr
319	human	UMPS	"mouse, laboratory"	Umps
320	human	UROD	"mouse, laboratory"	Urod
324	human	XDH	"mouse, laboratory"	Xdh
327	human	AIRE	"mouse, laboratory"	Aire
328	human	APOB	"mouse, laboratory"	Apob
330	human	BLMH	"mouse, laboratory"	Blmh
331	human	SLC25A20	"mouse, laboratory"	Slc25a20
332	human	CASR	"mouse, laboratory"	Casr
333	human	CDKN1A	"mouse, laboratory"	Cdkn1a
334	human	CHM	"mouse, laboratory"	Chm
335	human	TPP1	"mouse, laboratory"	Tpp1
339	human	CSF2RB	"mouse, laboratory"	Csf2rb2
344	human	ERCC2	"mouse, laboratory"	Ercc2
345	human	EXT2	"mouse, laboratory"	Ext2
347	human	GALE	"mouse, laboratory"	Gale
349	human	GM2A	"mouse, laboratory"	Gm2a
350	human	GNRHR	"mouse, laboratory"	Gnrhr
352	human	GPD2	"mouse, laboratory"	Gpd2
353	human	GUCA1A	"mouse, laboratory"	Guca1a
358	human	HSD17B4	"mouse, laboratory"	Hsd17b4
359	human	IFNGR1	"mouse, laboratory"	Ifngr1
360	human	IL2RA	"mouse, laboratory"	Il2ra
362	human	KEL	"mouse, laboratory"	Kel
363	human	KRT17	"mouse, laboratory"	Krt17
369	human	LTBP2	"mouse, laboratory"	Ltbp2
371	human	PAFAH1B1	"mouse, laboratory"	Pafah1b1
372	human	MVK	"mouse, laboratory"	Mvk
374	human	NCF2	"mouse, laboratory"	Ncf2
375	human	NEU1	"mouse, laboratory"	Neu1
376	human	NOTCH3	"mouse, laboratory"	Notch3
377	human	OXCT1	"mouse, laboratory"	Oxct1
379	human	PCSK1	"mouse, laboratory"	Pcsk1
380	human	PDE6A	"mouse, laboratory"	Pde6a
384	human	PLEC	"mouse, laboratory"	Plec
385	human	PON2	"mouse, laboratory"	Pon2
386	human	PSEN2	"mouse, laboratory"	Psen2
387	human	RAG1	"mouse, laboratory"	Rag1
389	human	SELE	"mouse, laboratory"	Sele
390	human	SLC10A2	"mouse, laboratory"	Slc10a2
392	human	SOD1	"mouse, laboratory"	Sod1
393	human	STK11	"mouse, laboratory"	Stk11
394	human	SUOX	"mouse, laboratory"	Suox
395	human	HNF4A	"mouse, laboratory"	Hnf4a
396	human	HNF1B	"mouse, laboratory"	Hnf1b
397	human	TEK	"mouse, laboratory"	Tek
398	human	THPO	"mouse, laboratory"	Thpo
400	human	BARD1	"mouse, laboratory"	Bard1
402	human	TWIST1	"mouse, laboratory"	Twist1
403	human	NR0B1	"mouse, laboratory"	Nr0b1
405	human	ALB	"mouse, laboratory"	Alb
408	human	AMPD3	"mouse, laboratory"	Ampd3
409	human	AMT	"mouse, laboratory"	Amt
413	human	APRT	"mouse, laboratory"	Aprt
416	human	ATRX	"mouse, laboratory"	Atrx
417	human	AVP	"mouse, laboratory"	Avp
418	human	C1QB	"mouse, laboratory"	C1qb
420	human	CRYBB2	"mouse, laboratory"	Crybb2
425	human	F12	"mouse, laboratory"	F12
426	human	F2	"mouse, laboratory"	F2
428	human	FGA	"mouse, laboratory"	Fga
429	human	FGG	"mouse, laboratory"	Fgg
430	human	FSHB	"mouse, laboratory"	Fshb
433	human	GDNF	"mouse, laboratory"	Gdnf
437	human	HEXB	"mouse, laboratory"	Hexb
441	human	KCNJ11	"mouse, laboratory"	Kcnj11
443	human	VLDLR	"mouse, laboratory"	Vldlr
444	human	MC2R	"mouse, laboratory"	Mc2r
445	human	MPZ	"mouse, laboratory"	Mpz
446	human	OTC	"mouse, laboratory"	Otc
447	human	PCCB	"mouse, laboratory"	Pccb
448	human	PLP1	"mouse, laboratory"	Plp1
449	human	PMS1	"mouse, laboratory"	Pms1
452	human	RFXAP	"mouse, laboratory"	Rfxap
455	human	SAG	"mouse, laboratory"	Sag
456	human	SFTPB	"mouse, laboratory"	Sftpb
457	human	SMPD1	"mouse, laboratory"	Smpd1
459	human	HNF1A	"mouse, laboratory"	Hnf1a
460	human	TP53	"mouse, laboratory"	Trp53
461	human	TPO	"mouse, laboratory"	Tpo
462	human	TSC2	"mouse, laboratory"	Tsc2
463	human	TSHB	"mouse, laboratory"	Tshb
464	human	TYRP1	"mouse, laboratory"	Tyrp1
465	human	VHL	"mouse, laboratory"	Vhl
466	human	VWF	"mouse, laboratory"	Vwf
467	human	CRX	"mouse, laboratory"	Crx
468	human	GDF5	"mouse, laboratory"	Gdf5
469	human	HBA2	"mouse, laboratory"	Hba-a2
472	human	C8A	"mouse, laboratory"	C8a
473	human	IL5RA	"mouse, laboratory"	Il5ra
474	human	IL6R	"mouse, laboratory"	Il6ra
475	human	FCGR1A	"mouse, laboratory"	Fcgr1
477	human	FCGR3B	"mouse, laboratory"	Fcgr4
478	human	IL10	"mouse, laboratory"	Il10
479	human	CD55	"mouse, laboratory"	Cd55b
480	human	IL1A	"mouse, laboratory"	Il1a
481	human	IL1B	"mouse, laboratory"	Il1b
486	human	GC	"mouse, laboratory"	Gc
487	human	IL15	"mouse, laboratory"	Il15
488	human	IL2	"mouse, laboratory"	Il2
489	human	C7	"mouse, laboratory"	C7
491	human	IL4	"mouse, laboratory"	Il4
492	human	IL9	"mouse, laboratory"	Il9
493	human	CD14	"mouse, laboratory"	Cd14
495	human	TAP1	"mouse, laboratory"	Tap1
496	human	TNF	"mouse, laboratory"	Tnf
497	human	LTA	"mouse, laboratory"	Lta
498	human	IGFBP1	"mouse, laboratory"	Igfbp1
499	human	IGFBP2	"mouse, laboratory"	Igfbp2
500	human	IGFBP3	"mouse, laboratory"	Igfbp3
502	human	IL6	"mouse, laboratory"	Il6
503	human	HGF	"mouse, laboratory"	Hgf
504	human	NOS3	"mouse, laboratory"	Nos3
505	human	C8G	"mouse, laboratory"	C8g
508	human	CD44	"mouse, laboratory"	Cd44
510	human	IGF2	"mouse, laboratory"	Igf2
511	human	HPX	"mouse, laboratory"	Hpx
513	human	CD4	"mouse, laboratory"	Cd4
515	human	IGF1	"mouse, laboratory"	Igf1
519	human	BDKRB2	"mouse, laboratory"	Bdkrb2
521	human	CD79B	"mouse, laboratory"	Cd79b
522	human	LTBP1	"mouse, laboratory"	Ltbp1
523	human	IL10RB	"mouse, laboratory"	Il10rb
524	human	IFNAR1	"mouse, laboratory"	Ifnar1
525	human	NCF4	"mouse, laboratory"	Ncf4
526	human	ITGAM	"mouse, laboratory"	Itgam
527	human	BCL2	"mouse, laboratory"	Bcl2
530	human	SOD2	"mouse, laboratory"	Sod2
531	human	GSR	"mouse, laboratory"	Gsr
532	human	VTN	"mouse, laboratory"	Vtn
533	human	FASLG	"mouse, laboratory"	Fasl
534	human	IL13RA2	"mouse, laboratory"	Il13ra2
535	human	IL11	"mouse, laboratory"	Il11
536	human	AGL	"mouse, laboratory"	Agl
537	human	CCR2	"mouse, laboratory"	Ccr2
539	human	SELL	"mouse, laboratory"	Sell
540	human	TGFB1	"mouse, laboratory"	Tgfb1
542	human	ABAT	"mouse, laboratory"	Abat
543	human	ACHE	"mouse, laboratory"	Ache
550	human	ADORA3	"mouse, laboratory"	Adora3
551	human	ADRA1D	"mouse, laboratory"	Adra1d
553	human	ADRA2B	"mouse, laboratory"	Adra2b
554	human	AHCY	"mouse, laboratory"	Ahcy
560	human	ALOX12	"mouse, laboratory"	Alox12
561	human	ALOX5	"mouse, laboratory"	Alox5
563	human	ANXA1	"mouse, laboratory"	Anxa1
564	human	ATP1A1	"mouse, laboratory"	Atp1a1
568	human	AVPR1A	"mouse, laboratory"	Avpr1a
569	human	BCKDHA	"mouse, laboratory"	Bckdha
570	human	BDKRB1	"mouse, laboratory"	Bdkrb1
572	human	BLVRA	"mouse, laboratory"	Blvra
573	human	BLVRB	"mouse, laboratory"	Blvrb
574	human	TSPO	"mouse, laboratory"	Tspo
578	human	CACNA1D	"mouse, laboratory"	Cacna1d
579	human	CACNA2D1	"mouse, laboratory"	Cacna2d1
582	human	CACNG1	"mouse, laboratory"	Cacng1
583	human	CCK	"mouse, laboratory"	Cck
585	human	CD3D	"mouse, laboratory"	Cd3d
586	human	CD3E	"mouse, laboratory"	Cd3e
587	human	CGA	"mouse, laboratory"	Cga
591	human	CHRNA3	"mouse, laboratory"	Chrna3
592	human	CHRNA4	"mouse, laboratory"	Chrna4
593	human	CHRNA7	"mouse, laboratory"	Chrna7
594	human	CHRNB1	"mouse, laboratory"	Chrnb1
595	human	CHRNB2	"mouse, laboratory"	Chrnb2
598	human	CRAT	"mouse, laboratory"	Crat
599	human	CRH	"mouse, laboratory"	Crh
600	human	CSF2	"mouse, laboratory"	Csf2
601	human	CSF3R	"mouse, laboratory"	Csf3r
615	human	DBH	"mouse, laboratory"	Dbh
616	human	DCK	"mouse, laboratory"	Dck
618	human	DDC	"mouse, laboratory"	Ddc
620	human	DIO1	"mouse, laboratory"	Dio1
621	human	DIO2	"mouse, laboratory"	Dio2
623	human	DRD3	"mouse, laboratory"	Drd3
624	human	EPO	"mouse, laboratory"	Epo
625	human	FGF1	"mouse, laboratory"	Fgf1
627	human	FOLR2	"mouse, laboratory"	Folr2
628	human	GAST	"mouse, laboratory"	Gast
629	human	GABRA1	"mouse, laboratory"	Gabra1
631	human	GABRA4	"mouse, laboratory"	Gabra4
633	human	GABRB3	"mouse, laboratory"	Gabrb3
635	human	GAD1	"mouse, laboratory"	Gad1
637	human	GART	"mouse, laboratory"	Gart
638	human	GAS6	"mouse, laboratory"	Gas6
639	human	GGCX	"mouse, laboratory"	Ggcx
640	human	GHRHR	"mouse, laboratory"	Ghrhr
641	human	GNRH1	"mouse, laboratory"	Gnrh1
645	human	GRIN2A	"mouse, laboratory"	Grin2a
646	human	GRIN2B	"mouse, laboratory"	Grin2b
647	human	GRIN2C	"mouse, laboratory"	Grin2c
648	human	GRIN2D	"mouse, laboratory"	Grin2d
649	human	GRM1	"mouse, laboratory"	Grm1
651	human	GRM3	"mouse, laboratory"	Grm3
654	human	GRM8	"mouse, laboratory"	Grm8
658	human	GSTM3	"mouse, laboratory"	Gstm5
660	human	GSTP1	"mouse, laboratory"	Gstp-ps
664	human	GUCY1B1	"mouse, laboratory"	Gucy1b1
665	human	GUK1	"mouse, laboratory"	Guk1
668	human	HRH1	"mouse, laboratory"	Hrh1
669	human	HTR1B	"mouse, laboratory"	Htr1b
671	human	HTR3A	"mouse, laboratory"	Htr3a
673	human	HTR6	"mouse, laboratory"	Htr6
675	human	ICAM2	"mouse, laboratory"	Icam2
676	human	IGF2R	"mouse, laboratory"	Igf2r
677	human	IL1R1	"mouse, laboratory"	Il1r1
679	human	IL5	"mouse, laboratory"	Il5
680	human	IL7	"mouse, laboratory"	Il7
681	human	IL12A	"mouse, laboratory"	Il12a
685	human	ITGB6	"mouse, laboratory"	Itgb6
692	human	KITLG	"mouse, laboratory"	Kitl
693	human	MGP	"mouse, laboratory"	Mgp
695	human	NQO1	"mouse, laboratory"	Nqo1
696	human	NQO2	"mouse, laboratory"	Nqo2
697	human	NPY	"mouse, laboratory"	Npy
699	human	NPR3	"mouse, laboratory"	Npr3
700	human	NPY1R	"mouse, laboratory"	Npy1r
701	human	NPY2R	"mouse, laboratory"	Npy2r
708	human	PDE3A	"mouse, laboratory"	Pde3a
709	human	PDE3B	"mouse, laboratory"	Pde3b
712	human	PDHB	"mouse, laboratory"	Pdhb
713	human	PGR	"mouse, laboratory"	Pgr
715	human	PLA2G1B	"mouse, laboratory"	Pla2g1b
716	human	PLA2G5	"mouse, laboratory"	Pla2g5
717	human	PLAT	"mouse, laboratory"	Plat
719	human	SERPINF2	"mouse, laboratory"	Serpinf2
721	human	POLR2A	"mouse, laboratory"	Polr2a
722	human	POLR2B	"mouse, laboratory"	Polr2b
723	human	POMC	"mouse, laboratory"	Pomc
725	human	POR	"mouse, laboratory"	Por
726	human	PPIB	"mouse, laboratory"	Ppib
727	human	PPIC	"mouse, laboratory"	Ppic
730	human	PRIM1	"mouse, laboratory"	Prim1
731	human	PRIM2	"mouse, laboratory"	Prim2
732	human	PRL	"mouse, laboratory"	Prl
733	human	PRLR	"mouse, laboratory"	Prlr
734	human	PRRG1	"mouse, laboratory"	Prrg1
735	human	PRRG2	"mouse, laboratory"	Prrg2
736	human	PTGDR	"mouse, laboratory"	Ptgdr
737	human	PTGDS	"mouse, laboratory"	Ptgds
738	human	PTGER1	"mouse, laboratory"	Ptger1
739	human	PTGER2	"mouse, laboratory"	Ptger2
741	human	PTGFR	"mouse, laboratory"	Ptgfr
743	human	PTGS1	"mouse, laboratory"	Ptgs1
747	human	RPL3	"mouse, laboratory"	Rpl3
748	human	RPL4	"mouse, laboratory"	Rpl4
756	human	RPL18	"mouse, laboratory"	Rpl18
763	human	RPL24	"mouse, laboratory"	Rpl24
766	human	RPL30	"mouse, laboratory"	Rpl30
768	human	RPL28	"mouse, laboratory"	Rpl28
779	human	RPS3	"mouse, laboratory"	Rps3
783	human	RPS5	"mouse, laboratory"	Rps5
788	human	RPS10	"mouse, laboratory"	Rps10
794	human	RPS16	"mouse, laboratory"	Rps16
799	human	RPS23	"mouse, laboratory"	Rps23
806	human	RRM1	"mouse, laboratory"	Rrm1
810	human	SCN1B	"mouse, laboratory"	Scn1b
811	human	SCNN1A	"mouse, laboratory"	Scnn1a
813	human	SHBG	"mouse, laboratory"	Shbg
816	human	SLC6A2	"mouse, laboratory"	Slc6a2
817	human	SLC6A4	"mouse, laboratory"	Slc6a4
819	human	SST	"mouse, laboratory"	Sst
820	human	SSTR1	"mouse, laboratory"	Sstr1
824	human	TACR3	"mouse, laboratory"	Tacr3
825	human	TBXA2R	"mouse, laboratory"	Tbxa2r
828	human	TNFRSF1A	"mouse, laboratory"	Tnfrsf1a
829	human	TNFRSF1B	"mouse, laboratory"	Tnfrsf1b
830	human	TOP2A	"mouse, laboratory"	Top2a
833	human	TUBG1	"mouse, laboratory"	Tubg1
834	human	TYMS	"mouse, laboratory"	Tyms
838	human	VCAM1	"mouse, laboratory"	Vcam1
839	human	ZAP70	"mouse, laboratory"	Zap70
840	human	ALDH5A1	"mouse, laboratory"	Aldh5a1
842	human	PDE5A	"mouse, laboratory"	Pde5a
843	human	PLOD3	"mouse, laboratory"	Plod3
846	human	AAMP	"mouse, laboratory"	Aamp
849	human	ABCF1	"mouse, laboratory"	Abcf1
854	human	ACLY	"mouse, laboratory"	Acly
855	human	ACR	"mouse, laboratory"	Acr
856	human	ACO2	"mouse, laboratory"	Aco2
863	human	ACVR2B	"mouse, laboratory"	Acvr2b
865	human	ADAM10	"mouse, laboratory"	Adam10
866	human	ADCY7	"mouse, laboratory"	Adcy7
868	human	ADCY9	"mouse, laboratory"	Adcy9
869	human	ADCYAP1	"mouse, laboratory"	Adcyap1
870	human	ADCYAP1R1	"mouse, laboratory"	Adcyap1r1
871	human	MFSD10	"mouse, laboratory"	Mfsd10
872	human	PLIN2	"mouse, laboratory"	Plin2
873	human	ADM	"mouse, laboratory"	Adm
874	human	ADPRH	"mouse, laboratory"	Adprh
875	human	ADSS2	"mouse, laboratory"	Adss
878	human	AEBP1	"mouse, laboratory"	Aebp1
879	human	TLE5	"mouse, laboratory"	Tle5
881	human	AFM	"mouse, laboratory"	Afm
883	human	AGER	"mouse, laboratory"	Ager
884	human	ALOX12B	"mouse, laboratory"	Alox12b
886	human	ALOX15B	"mouse, laboratory"	Alox8
888	human	AMFR	"mouse, laboratory"	Amfr
896	human	NUDT2	"mouse, laboratory"	Nudt2
897	human	APBA1	"mouse, laboratory"	Apba1
898	human	APBB1	"mouse, laboratory"	Apbb1
899	human	BIRC3	"mouse, laboratory"	Birc3
900	human	BIRC2	"mouse, laboratory"	Birc2
901	human	XIAP	"mouse, laboratory"	Xiap
906	human	ARG2	"mouse, laboratory"	Arg2
907	human	ARHGAP5	"mouse, laboratory"	Arhgap5
908	human	ARHGDIA	"mouse, laboratory"	Arhgdia
910	human	ARNTL	"mouse, laboratory"	Arntl
911	human	ART3	"mouse, laboratory"	Art3
912	human	ASGR2	"mouse, laboratory"	Asgr2
913	human	ALDH7A1	"mouse, laboratory"	Aldh7a1
914	human	ATP6AP1	"mouse, laboratory"	Atp6ap1
915	human	AZGP1	"mouse, laboratory"	Azgp1
916	human	BACH1	"mouse, laboratory"	Bach1
917	human	BAK1	"mouse, laboratory"	Bak1
920	human	TNFRSF17	"mouse, laboratory"	Tnfrsf17
922	human	BFSP1	"mouse, laboratory"	Bfsp1
923	human	BID	"mouse, laboratory"	Bid
924	human	BIK	"mouse, laboratory"	Bik
925	human	PRDM1	"mouse, laboratory"	Prdm1
926	human	BMP2	"mouse, laboratory"	Bmp2
927	human	BMP3	"mouse, laboratory"	Bmp3
929	human	BMPR2	"mouse, laboratory"	Bmpr2
930	human	BNIP1	"mouse, laboratory"	Bnip1
931	human	KLF9	"mouse, laboratory"	Klf9
933	human	BUB1B	"mouse, laboratory"	Bub1b
936	human	CALU	"mouse, laboratory"	Calu
942	human	CAV2	"mouse, laboratory"	Cav2
946	human	CCNH	"mouse, laboratory"	Ccnh
947	human	CCNT1	"mouse, laboratory"	Ccnt1
949	human	TNFRSF8	"mouse, laboratory"	Tnfrsf8
950	human	TNFSF8	"mouse, laboratory"	Tnfsf8
954	human	CD40	"mouse, laboratory"	Cd40
955	human	CD68	"mouse, laboratory"	Cd68
956	human	CD70	"mouse, laboratory"	Cd70
960	human	CDC27	"mouse, laboratory"	Cdc27
963	human	CDK6	"mouse, laboratory"	Cdk6
966	human	CDKN2C	"mouse, laboratory"	Cdkn2c
968	human	CDX2	"mouse, laboratory"	Cdx2
970	human	RCBTB2	"mouse, laboratory"	Rcbtb2
975	human	CHEK1	"mouse, laboratory"	Chek1
976	human	CHGA	"mouse, laboratory"	Chga
979	human	CHUK	"mouse, laboratory"	Chuk
980	human	CIRBP	"mouse, laboratory"	Cirbp
981	human	TBCB	"mouse, laboratory"	Tbcb
984	human	CLCA1	"mouse, laboratory"	Clca1
985	human	CLCN6	"mouse, laboratory"	Clcn6
987	human	CLIC5	"mouse, laboratory"	Clic5
989	human	LDB2	"mouse, laboratory"	Ldb2
990	human	CLNS1A	"mouse, laboratory"	Clns1a
992	human	ACKR2	"mouse, laboratory"	Ackr2
994	human	CNGA3	"mouse, laboratory"	Cnga3
995	human	CNN1	"mouse, laboratory"	Cnn1
996	human	KLF6	"mouse, laboratory"	Klf6
997	human	CORT	"mouse, laboratory"	Cort
999	human	CPD	"mouse, laboratory"	Cpd
1000	human	CLDN4	"mouse, laboratory"	Cldn4
1001	human	CLDN3	"mouse, laboratory"	Cldn3
1002	human	CPN1	"mouse, laboratory"	Cpn1
1003	human	CREBL2	"mouse, laboratory"	Crebl2
